 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 15:57:21, 15/7/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error 
           1         243           2           2   5284.8212022550315     
           2         401           2           2   343.69189585804583     
           3         791           2           2   139.85481722172472     
           4        1489           2           2   96.017942155706066     
           5        3117           2           2   56.909758730445262     
           6        7405           2           2   24.081943038467482     
           7       19917           2           2   11.911551688928084     
           8       48395           2           2   9.1801070130419724     
           9      132753           2           2   7.3331925198160910     
