 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 11:19:37, 31/3/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error      DoFs_per_wavelength 
           1          30           1           1   184.66656593601866        4.2857142857142856     
           2          51           1           1   143.43930234394858        7.2857142857142856     
           3          89           1           1   16.403870002580625        12.714285714285714     
           4         164           1           1   4.3749182370618982        23.428571428571427     
           5         285           1           1   1.3580087341723754        40.714285714285715     
           6         512           1           1  0.42746341593775322        73.142857142857139     
           7         959           1           1  0.12562754737251364        137.00000000000000     
           8        1838           1           1   3.5139269296703197E-002   262.57142857142856     
           9        3576           1           1   9.4671189810678364E-003   510.85714285714283     
