X          Y          Z          Atten_Azim          Atten_Azim_pre          Phase_Azim          Phase_Azim_pre          Atten_Geosignal          Atten_Geosignal_pre          Phase_Geosignal          Phase_Geosignal_pre          Atten_Coaxial          Atten_Coaxial_pre          Phase_Coaxial          Phase_Coaxial_pre
   0.0000000000000000        0.0000000000000000        50.000000000000000               -7.529665          -7.526469254907608          0.09790247          0.11468034496529109          -0.1188334          -0.11058346892058851          -0.2673588          -0.26167022489867214          1.236589          1.2371949574182033          0.001888214          0.0167119305683851
  0.30104149289743731        0.0000000000000000        50.042308622691863               -7.529374          -7.526408793800831          0.09718632          0.11097512249302871          -0.1187913          -0.11215108066170217          -0.2663737          -0.26439417660515313          1.23641          1.2369517240040302          0.0008234168          0.014585886833906148
  0.60208298579487463        0.0000000000000000        50.084617245383726               -7.530019          -7.526488273190021          0.09989906          0.10815258093392856          -0.1160463          -0.11339559782222511          -0.2645137          -0.2669403246754408          1.23695          1.2368469021840094          0.002702165          0.015651060691738102
  0.90312447869231194        0.0000000000000000        50.126925868075588               -7.531112          -7.526531135289193          0.1017783          0.10493764854922301          -0.114514          -0.11467528087619544          -0.2648109          -0.26947580452755693          1.23717          1.2366670882687567          0.004314516          0.016513086637639975
   1.2041659715897493        0.0000000000000000        50.169234490767451               -7.530682          -7.526383246854305          0.1020053          0.10364551058776385          -0.1108025          -0.11532032746322156          -0.2645444          -0.27196369575939777          1.237128          1.2366459484357832          0.007923395          0.02018253802504537
   1.5052074644871865        0.0000000000000000        50.211543113459314               -7.529235          -7.525902822332144          0.1017935          0.10339626435868747          -0.1060461          -0.11563847088913919          -0.2620749          -0.27472603213322166          1.237046          1.2364974264867306          0.01194106          0.025269659329330896
   1.8062489573846237        0.0000000000000000        50.253851736151177               -7.526362          -7.52505367021513          0.1025617          0.10413064111962325          -0.09294942          -0.11582318704425097          -0.2503134          -0.27745605008140806          1.237231          1.23620159416008          0.02166371          0.02984171705666778
   2.1072904502820609        0.0000000000000000        50.296160358843039               -7.52425          -7.5243535419528484          0.1014716          0.10475521195161348          -0.08647268          -0.11528478071172239          -0.2450523          -0.2801417217109204          1.236792          1.236221271751642          0.02865211          0.03361286537092922
   2.4083319431794981        0.0000000000000000        50.338468981534902               -7.523361          -7.5237084815530775          0.0995874          0.10392849237332351          -0.08681895          -0.1149742544468403          -0.2466364          -0.28292717255744937          1.236484          1.2362884512999057          0.0315006          0.03702991900455949
   2.7093734360769353        0.0000000000000000        50.380777604226765               -7.523571          -7.522966626611471          0.09680792          0.10328262183704383          -0.09145158          -0.11499418601821662          -0.2532122          -0.28558376806292535          1.236343          1.2361649545681477          0.03276511          0.03975544583265779
   3.0104149289743725        0.0000000000000000        50.423086226918628               -7.523703          -7.522078728292227          0.09375652          0.1025084238898278          -0.0953016          -0.1147642747076273          -0.2591552          -0.2884256977115393          1.23606          1.2361022870790959          0.03426462          0.04189427853980062
   3.3114564218718097        0.0000000000000000        50.465394849610490               -7.524797          -7.5213896703734395          0.08891249          0.10106864325764185          -0.1067515          -0.1144991975035906          -0.2732734          -0.29138665120602847          1.236121          1.2361720151052475          0.03501793          0.043512698436236355
   3.6124979147692469        0.0000000000000000        50.507703472302353               -7.526487          -7.5209417472443585          0.0877129          0.09935037891409404          -0.1136377          -0.11489465511401893          -0.2825667          -0.2942589120631695          1.236431          1.2361773627309798          0.03661176          0.044681598240625835
   3.9135394076666841        0.0000000000000000        50.550012094994216               -7.528534          -7.520502055909157          0.08648374          0.0973750628597737          -0.1218329          -0.11557372502033712          -0.2933623          -0.2970521025973916          1.236809          1.2361540922033787          0.03849315          0.04558795519273279
   4.2145809005641217        0.0000000000000000        50.592320717686079               -7.529789          -7.520575290489197          0.08541187          0.09441612381544119          -0.1276735          -0.11649667103247643          -0.300667          -0.2998597266032577          1.237036          1.2359495037407875          0.03963053          0.04613474525955913
   4.5156223934615589        0.0000000000000000        50.634629340377941               -7.53037          -7.521239653026343          0.0844742          0.09068457437949187          -0.1309314          -0.11729596513047219          -0.305238          -0.3027903488892198          1.237063          1.2356137731127739          0.04064708          0.04632676430585382
   4.8166638863589961        0.0000000000000000        50.676937963069804               -7.530652          -7.521779261307955          0.08272431          0.08709484657707221          -0.1346371          -0.11784021128646137          -0.3099995          -0.30578351621897226          1.236991          1.2352817189774512          0.04133818          0.04635480166900156
   5.1177053792564333        0.0000000000000000        50.719246585761667               -7.530816          -7.522228745639325          0.08240485          0.08367287048296934          -0.134422          -0.11881330360875131          -0.3112896          -0.3085461663639188          1.236842          1.2349552213594912          0.04213649          0.046217627640092344
   5.4187468721538705        0.0000000000000000        50.761555208453530               -7.530849          -7.522741387699604          0.08244918          0.08001381941938407          -0.1325383          -0.11988097568056584          -0.3109318          -0.31133161721044783          1.236641          1.234652328495741          0.042761          0.04602978960409162
   5.7197883650513077        0.0000000000000000        50.803863831145392               -7.530499          -7.5232446625461575          0.08239409          0.07621453427786834          -0.1287898          -0.12089608934123518          -0.3091561          -0.31416225109864476          1.236242          1.2343672749772072          0.04331944          0.04575267470122573
   6.0208298579487449        0.0000000000000000        50.846172453837255               -7.530004          -7.523624460484505          0.08183223          0.07349849124021536          -0.1259813          -0.12117398876634837          -0.3082506          -0.31564199571326973          1.235806          1.234076915611267          0.04365336          0.04541432029464242
   6.3218713508461821        0.0000000000000000        50.888481076529118               -7.52893          -7.52373118994999          0.07823701          0.07441398163576132          -0.1248347          -0.11957121113178731          -0.3109767          -0.3130349760451794          1.234856          1.2337311999633311          0.04348919          0.044949551812112305
