x 	 u_pred 	 u_exact
2.800000000000000266e-01	1.901650297143578072e+01	4.102141358482987998e-01
2.899999999999999800e-01	1.900163954870814820e+01	4.204153830445960804e-01
2.999999999999999889e-01	1.895526797558102672e+01	4.305116202499342237e-01
3.099999999999999978e-01	1.890716850816692585e+01	4.405073769187359267e-01
3.200000000000000067e-01	1.888264178663915160e+01	4.504068478997877434e-01
3.300000000000000155e-01	1.889927899966212621e+01	4.602139278028412606e-01
3.400000000000000244e-01	1.896628345709363117e+01	4.699322409041364335e-01
3.500000000000000333e-01	1.908576124357086456e+01	4.795651672837742407e-01
3.599999999999999867e-01	1.925490982805452234e+01	4.891158657635536477e-01
3.699999999999999956e-01	1.946819812643892433e+01	4.985872941147092008e-01
3.800000000000000044e-01	1.971905871761419249e+01	5.079822269253092548e-01
3.900000000000000133e-01	2.000098215112166855e+01	5.173032714526639708e-01
4.000000000000000222e-01	2.030810495202547372e+01	5.265528817336949663e-01
4.100000000000000311e-01	2.063544514295453780e+01	5.357333711833627277e-01
4.199999999999999845e-01	2.097892637598794963e+01	5.448469238759937605e-01
4.299999999999999933e-01	2.133529372953402969e+01	5.538956046752127049e-01
4.400000000000000022e-01	2.170198650300024568e+01	5.628813683539724000e-01
4.500000000000000111e-01	2.207700480655267938e+01	5.718060678259764273e-01
4.600000000000000200e-01	2.245878803971277549e+01	5.806714615928536549e-01
4.700000000000000289e-01	2.284611228677545824e+01	5.894792204971880389e-01
4.799999999999999822e-01	2.323800770594440124e+01	5.982309338594667958e-01
4.899999999999999911e-01	2.363369415321752598e+01	6.069281150667864555e-01
5.000000000000000000e-01	2.403253220371605181e+01	6.155722066724581554e-01
5.100000000000000089e-01	2.443398657038299149e+01	6.241645850582235866e-01
5.200000000000000178e-01	2.483759918407659839e+01	6.327065647044162189e-01
5.300000000000000266e-01	2.524296962284478241e+01	6.411994021079273631e-01
5.400000000000000355e-01	2.564974102523174793e+01	6.496442993831094137e-01
5.500000000000000444e-01	2.605759003012475006e+01	6.580424075766573289e-01
5.600000000000000533e-01	2.646621963066893102e+01	6.663948297239661311e-01
5.700000000000000622e-01	2.687535410883620557e+01	6.747026236713719038e-01
5.799999999999999600e-01	2.728473543610354568e+01	6.829668046859956876e-01
5.899999999999999689e-01	2.769412069350837058e+01	6.911883478725526775e-01
5.999999999999999778e-01	2.810328019072922601e+01	6.993681904144294359e-01
6.099999999999999867e-01	2.851199605758544564e+01	7.075072336545158436e-01
6.199999999999999956e-01	2.892006114994757837e+01	7.156063450296854533e-01
6.300000000000000044e-01	2.932727816159786016e+01	7.236663598714063728e-01
6.400000000000000133e-01	2.973345886890132661e+01	7.316880830837221295e-01
6.500000000000000222e-01	3.013842345997773720e+01	7.396722907087351917e-01
6.600000000000000311e-01	3.054199991724780716e+01	7.476197313887467111e-01
6.700000000000000400e-01	3.094402343390147081e+01	7.555311277333358611e-01
6.800000000000000488e-01	3.134433585258721422e+01	7.634071775988812147e-01
6.900000000000000577e-01	3.174278511961749416e+01	7.712485552873363792e-01
7.000000000000000666e-01	3.213922475107060706e+01	7.790559126704491577e-01
7.099999999999999645e-01	3.253351330895623761e+01	7.868298802450581775e-01
7.199999999999999734e-01	3.292551388653254207e+01	7.945710681246025420e-01
7.299999999999999822e-01	3.331509360222278104e+01	8.022800669715298705e-01
7.399999999999999911e-01	3.370212310159158875e+01	8.099574488748874090e-01
7.500000000000000000e-01	3.408647606664844432e+01	8.176037681770133014e-01
7.600000000000000089e-01	3.446802873144849855e+01	8.252195622529189256e-01
7.700000000000000178e-01	3.484665940261961481e+01	8.328053522456562163e-01
7.800000000000000266e-01	3.522224798310323735e+01	8.403616437606930001e-01
7.900000000000000355e-01	3.559467549707785139e+01	8.478889275220773403e-01
8.000000000000000444e-01	3.596382361375514591e+01	8.553876799929505115e-01
8.100000000000000533e-01	3.632957416750598867e+01	8.628583639627644963e-01
8.200000000000000622e-01	3.669180867159337112e+01	8.703014291033819294e-01
8.300000000000000711e-01	3.705040782266146948e+01	8.777173124960632178e-01
8.399999999999999689e-01	3.740525099305997969e+01	8.851064391311986856e-01
8.499999999999999778e-01	3.775621570806686123e+01	8.924692223825022586e-01
8.599999999999999867e-01	3.810317710511822753e+01	8.998060644572551947e-01
8.699999999999999956e-01	3.844600737226085130e+01	9.071173568240763485e-01
8.800000000000000044e-01	3.878457516321673637e+01	9.144034806195818765e-01
8.900000000000000133e-01	3.911874498669657640e+01	9.216648070352077005e-01
9.000000000000000222e-01	3.944837656792572034e+01	9.289016976853710084e-01
9.100000000000000311e-01	3.977332418076526466e+01	9.361145049580709143e-01
9.200000000000000400e-01	4.009343594932757071e+01	9.433035723489462399e-01
9.300000000000000488e-01	4.040855311861891153e+01	9.504692347797455421e-01
9.400000000000000577e-01	4.071850929450042145e+01	9.576118189020933480e-01
9.500000000000000666e-01	4.102312965416195567e+01	9.647316433873818209e-01
9.599999999999999645e-01	4.132223012936656659e+01	9.718290192035610175e-01
9.699999999999999734e-01	4.161561656596472147e+01	9.789042498795496039e-01
9.799999999999999822e-01	4.190308386461530432e+01	9.859576317579406002e-01
9.899999999999999911e-01	4.218441510930354355e+01	9.929894542366357602e-01
1.000000000000000000e+00	4.245938069213143251e+01	1.000000000000000000e+00
1.010000000000000009e+00	4.272773744498869775e+01	1.006989545240089434e+00
1.020000000000000018e+00	4.298922779110614556e+01	1.013958359868474934e+00
1.030000000000000027e+00	4.324357893215184845e+01	1.020906707719148043e+00
1.040000000000000036e+00	4.349050208945804030e+01	1.027834846742967212e+00
1.050000000000000044e+00	4.372969182114868403e+01	1.034743029194076458e+00
1.060000000000000053e+00	4.396082544035554918e+01	1.041631501808699012e+00
1.070000000000000062e+00	4.418356256332229748e+01	1.048500505976688757e+00
1.080000000000000071e+00	4.439754481994533819e+01	1.055350277906196510e+00
1.090000000000000080e+00	4.460239576310075904e+01	1.062181048781787984e+00
1.100000000000000089e+00	4.479772101684966401e+01	1.068993044916332957e+00
1.110000000000000098e+00	4.498310870715111776e+01	1.075786487896965182e+00
1.120000000000000107e+00	4.515813022186302561e+01	1.082561594725393928e+00
1.130000000000000115e+00	4.532234134935121261e+01	1.089318577952836486e+00
1.140000000000000124e+00	4.547528384669254820e+01	1.096057645809822345e+00
1.150000000000000133e+00	4.561648748894162964e+01	1.102779002331107261e+00
1.159999999999999920e+00	4.574547264988624562e+01	1.109482847475921963e+00
1.169999999999999929e+00	4.586175346177157053e+01	1.116169377243770855e+00
1.179999999999999938e+00	4.596484159622917076e+01	1.122838783785976569e+00
1.189999999999999947e+00	4.605425070071464688e+01	1.129491255513168202e+00
1.199999999999999956e+00	4.612950151376551844e+01	1.136126977198888666e+00
1.209999999999999964e+00	4.619012766803255943e+01	1.142746130079492994e+00
1.219999999999999973e+00	4.623568217209761855e+01	1.149348891950503049e+00
1.229999999999999982e+00	4.626574454050205532e+01	1.155935437259567600e+00
1.239999999999999991e+00	4.627992851629386450e+01	1.162505937196178118e+00
1.250000000000000000e+00	4.627789030212216659e+01	1.169060559778276609e+00
1.260000000000000009e+00	4.625933718511669923e+01	1.175599469935887376e+00
1.270000000000000018e+00	4.622403640845850248e+01	1.182122829591897739e+00
1.280000000000000027e+00	4.617182410998488251e+01	1.188630797740107381e+00
1.290000000000000036e+00	4.610261411701967660e+01	1.195123530520658006e+00
1.300000000000000044e+00	4.601640635880117713e+01	1.201601181292952569e+00
1.310000000000000053e+00	4.591329463553776691e+01	1.208063900706163096e+00
1.320000000000000062e+00	4.579347346847707456e+01	1.214511836767429243e+00
1.330000000000000071e+00	4.565724375058919549e+01	1.220945134907836405e+00
1.340000000000000080e+00	4.550501692443585000e+01	1.227363938046262204e+00
1.350000000000000089e+00	4.533731743395795633e+01	1.233768386651177940e+00
1.360000000000000098e+00	4.515478323102394853e+01	1.240158618800482948e+00
1.370000000000000107e+00	4.495816416554636419e+01	1.246534770239448697e+00
1.380000000000000115e+00	4.474831814871975411e+01	1.252896974436847000e+00
1.390000000000000124e+00	4.452620505035147858e+01	1.259245362639330512e+00
1.400000000000000133e+00	4.429287837024546803e+01	1.265580063924133025e+00
1.409999999999999920e+00	4.404947480622127642e+01	1.271901205250151934e+00
1.419999999999999929e+00	4.379720192306992033e+01	1.278208911507476619e+00
1.429999999999999938e+00	4.353732420277867732e+01	1.284503305565415809e+00
1.439999999999999947e+00	4.327114782204005650e+01	1.290784508319084090e+00
1.449999999999999956e+00	4.300000455427558421e+01	1.297052638734597751e+00
1.459999999999999964e+00	4.272523522692837616e+01	1.303307813892932376e+00
1.469999999999999973e+00	4.244817317858267813e+01	1.309550149032489896e+00
1.479999999999999982e+00	4.217012815389352909e+01	1.315779757590420873e+00
1.489999999999999991e+00	4.189237104811159895e+01	1.321996751242748180e+00
1.500000000000000000e+00	4.161611986924079076e+01	1.328201239943334055e+00
1.510000000000000009e+00	4.134252722775126898e+01	1.334393331961730933e+00
1.520000000000000018e+00	4.107266959525392025e+01	1.340573133919954030e+00
1.530000000000000027e+00	4.080753849902349373e+01	1.346740750828217870e+00
1.540000000000000036e+00	4.054803374317322806e+01	1.352896286119666058e+00
1.550000000000000044e+00	4.029495867378161478e+01	1.359039841684134053e+00
1.560000000000000053e+00	4.004901743790482271e+01	1.365171517900976017e+00
1.570000000000000062e+00	3.981081412795667518e+01	1.371291413670986614e+00
1.580000000000000071e+00	3.958085365528727806e+01	1.377399626447451730e+00
1.590000000000000080e+00	3.935954416093078123e+01	1.383496252266351201e+00
1.600000000000000089e+00	3.914720074757073576e+01	1.389581385775749522e+00
1.610000000000000098e+00	3.894405030422457514e+01	1.395655120264394089e+00
1.620000000000000107e+00	3.875023719285267276e+01	1.401717547689552479e+00
1.630000000000000115e+00	3.856582957254826738e+01	1.407768758704110779e+00
1.640000000000000124e+00	3.839082615044102909e+01	1.413808842682956701e+00
1.650000000000000133e+00	3.822516316716772877e+01	1.419837887748673921e+00
1.660000000000000142e+00	3.806872144700655269e+01	1.425855980796564282e+00
1.669999999999999929e+00	3.792133336696957002e+01	1.431863207519026071e+00
1.679999999999999938e+00	3.778278962395123841e+01	1.437859652429301249e+00
