epoch 	 loss
1.000000000000000000e+00	-1.773362904787063599e-01
2.000000000000000000e+00	-3.778393864631652832e-01
3.000000000000000000e+00	-4.389413595199584961e-01
4.000000000000000000e+00	-4.074591100215911865e-01
5.000000000000000000e+00	-3.671566545963287354e-01
6.000000000000000000e+00	-3.647096455097198486e-01
7.000000000000000000e+00	-3.933492302894592285e-01
8.000000000000000000e+00	-4.304063320159912109e-01
9.000000000000000000e+00	-4.573359787464141846e-01
1.000000000000000000e+01	-4.659156799316406250e-01
1.100000000000000000e+01	-4.592939615249633789e-01
1.200000000000000000e+01	-4.482847154140472412e-01
1.300000000000000000e+01	-4.436368644237518311e-01
1.400000000000000000e+01	-4.497357010841369629e-01
1.500000000000000000e+01	-4.639807045459747314e-01
1.600000000000000000e+01	-4.801743030548095703e-01
1.700000000000000000e+01	-4.924872517585754395e-01
1.800000000000000000e+01	-4.981754720211029053e-01
1.900000000000000000e+01	-4.983827173709869385e-01
2.000000000000000000e+01	-4.969253242015838623e-01
2.100000000000000000e+01	-4.978148937225341797e-01
2.200000000000000000e+01	-5.030527114868164062e-01
2.300000000000000000e+01	-5.119506716728210449e-01
2.400000000000000000e+01	-5.220204591751098633e-01
2.500000000000000000e+01	-5.305956006050109863e-01
2.600000000000000000e+01	-5.362577438354492188e-01
2.700000000000000000e+01	-5.394222736358642578e-01
2.800000000000000000e+01	-5.418652892112731934e-01
2.900000000000000000e+01	-5.455326437950134277e-01
3.000000000000000000e+01	-5.513992309570312500e-01
3.100000000000000000e+01	-5.590583682060241699e-01
3.200000000000000000e+01	-5.671722292900085449e-01
3.300000000000000000e+01	-5.743883848190307617e-01
3.400000000000000000e+01	-5.801371932029724121e-01
3.500000000000000000e+01	-5.848563313484191895e-01
3.600000000000000000e+01	-5.895621180534362793e-01
3.700000000000000000e+01	-5.951181650161743164e-01
3.800000000000000000e+01	-6.017044782638549805e-01
3.900000000000000000e+01	-6.087927818298339844e-01
4.000000000000000000e+01	-6.155739426612854004e-01
4.100000000000000000e+01	-6.215123534202575684e-01
4.200000000000000000e+01	-6.266632080078125000e-01
4.300000000000000000e+01	-6.315646171569824219e-01
4.400000000000000000e+01	-6.368080973625183105e-01
