x 	 u_exact
1.560312062412482492e-01	3.188223794276190404e-03
1.580316063212642563e-01	3.230418594009298872e-03
1.600320064012802634e-01	3.272647904529080165e-03
1.620324064812962706e-01	3.314911768041550744e-03
1.640328065613122499e-01	3.357210226820672716e-03
1.660332066413282570e-01	3.399543323209686108e-03
1.680336067213442641e-01	3.441911099620442727e-03
1.700340068013602712e-01	3.484313598533850254e-03
1.720344068813762783e-01	3.526750862500094286e-03
1.740348069613922855e-01	3.569222934138194248e-03
1.760352070414082926e-01	3.611729856137113615e-03
1.780356071214242719e-01	3.654271671255315823e-03
1.800360072014402790e-01	3.696848422320986316e-03
1.820364072814562861e-01	3.739460152231810497e-03
1.840368073614722932e-01	3.782106903955861910e-03
1.860372074414883004e-01	3.824788720531602237e-03
1.880376075215043075e-01	3.867505645066993125e-03
1.900380076015203146e-01	3.910257720741050491e-03
1.920384076815362939e-01	3.953044990803400438e-03
1.940388077615523010e-01	3.995867498574057208e-03
1.960392078415683081e-01	4.038725287443867273e-03
1.980396079215843153e-01	4.081618400874953423e-03
2.000400080016003224e-01	4.124546882400714765e-03
2.020404080816163295e-01	4.167510775625382635e-03
2.040408081616323366e-01	4.210510124224908779e-03
2.060412082416483437e-01	4.253544971946965347e-03
2.080416083216643230e-01	4.296615362610722855e-03
2.100420084016803302e-01	4.339721340107294267e-03
2.120424084816963373e-01	4.382862948399957048e-03
2.140428085617123444e-01	4.426040231523931112e-03
2.160432086417283515e-01	4.469253233586822915e-03
2.180436087217443586e-01	4.512501998769069544e-03
2.200440088017603657e-01	4.555786571323272582e-03
2.220444088817763451e-01	4.599106995574864243e-03
2.240448089617923522e-01	4.642463315922329414e-03
2.260452090418083593e-01	4.685855576837649750e-03
2.280456091218243664e-01	4.729283822864971398e-03
2.300460092018403735e-01	4.772748098622603408e-03
2.320464092818563806e-01	4.816248448802351589e-03
2.340468093618723877e-01	4.859784918169518519e-03
2.360472094418883671e-01	4.903357551562903538e-03
2.380476095219043742e-01	4.946966393896135017e-03
2.400480096019203813e-01	4.990611490155894003e-03
2.420484096819363884e-01	5.034292885404134665e-03
2.440488097619523955e-01	5.078010624776752024e-03
2.460492098419684026e-01	5.121764753484026045e-03
2.480496099219844097e-01	5.165555316811287767e-03
2.500500100020003891e-01	5.209382360118697264e-03
2.520504100820163962e-01	5.253245928841687729e-03
2.540508101620324033e-01	5.297146068490521387e-03
2.560512102420484104e-01	5.341082824650733585e-03
2.580516103220644175e-01	5.385056242984020969e-03
2.600520104020804246e-01	5.429066369226909217e-03
2.620524104820964317e-01	5.473113249192529395e-03
2.640528105621124388e-01	5.517196928769285691e-03
2.660532106421284460e-01	5.561317453922187681e-03
2.680536107221444531e-01	5.605474870692628286e-03
2.700540108021604602e-01	5.649669225197717637e-03
2.720544108821764118e-01	5.693900563632281475e-03
2.740548109621924189e-01	5.738168932266862754e-03
2.760552110422084260e-01	5.782474377449720038e-03
2.780556111222244331e-01	5.826816945605495235e-03
2.800560112022404402e-01	5.871196683236989955e-03
2.820564112822564473e-01	5.915613636923167107e-03
2.840568113622724544e-01	5.960067853322037479e-03
2.860572114422884615e-01	6.004559379167995203e-03
2.880576115223044686e-01	6.049088261274038203e-03
2.900580116023204758e-01	6.093654546531102056e-03
2.920584116823364829e-01	6.138258281908504088e-03
2.940588117623524900e-01	6.182899514453499279e-03
2.960592118423684971e-01	6.227578291291946400e-03
2.980596119223845042e-01	6.272294659629196190e-03
3.000600120024004558e-01	6.317048666748092955e-03
3.020604120824164629e-01	6.361840360011861151e-03
3.040608121624324700e-01	6.406669786862106974e-03
3.060612122424484771e-01	6.451536994819928594e-03
3.080616123224644842e-01	6.496442031485916146e-03
3.100620124024804913e-01	6.541384944541039914e-03
3.120624124824964984e-01	6.586365781744873971e-03
3.140628125625125056e-01	6.631384590938260715e-03
3.160632126425285127e-01	6.676441420041312469e-03
3.180636127225445198e-01	6.721536317054743748e-03
3.200640128025605269e-01	6.766669330060315346e-03
3.220644128825765340e-01	6.811840507219946161e-03
3.240648129625925411e-01	6.857049896776379327e-03
3.260652130426085482e-01	6.902297547053626303e-03
3.280656131226244998e-01	6.947583506456744828e-03
3.300660132026405069e-01	6.992907823472505058e-03
3.320664132826565140e-01	7.038270546668723426e-03
3.340668133626725211e-01	7.083671724695372873e-03
3.360672134426885282e-01	7.129111406283916708e-03
3.380676135227045354e-01	7.174589640247974742e-03
3.400680136027205425e-01	7.220106475483767383e-03
3.420684136827365496e-01	7.265661960969449495e-03
3.440688137627525567e-01	7.311256145765998582e-03
3.460692138427685638e-01	7.356889079016992739e-03
3.480696139227845709e-01	7.402560809949054743e-03
3.500700140028005780e-01	7.448271387871852056e-03
3.520704140828165851e-01	7.494020862178096820e-03
3.540708141628325922e-01	7.539809282344434038e-03
3.560712142428485438e-01	7.585636697930997485e-03
3.580716143228645509e-01	7.631503158581187662e-03
3.600720144028805580e-01	7.677408714023004066e-03
3.620724144828965652e-01	7.723353414068157008e-03
3.640728145629125723e-01	7.769337308613177839e-03
3.660732146429285794e-01	7.815360447638530772e-03
3.680736147229445865e-01	7.861422881209945146e-03
3.700740148029605936e-01	7.907524659477527251e-03
3.720744148829766007e-01	7.953665832676648506e-03
3.740748149629926078e-01	7.999846451127723412e-03
3.760752150430086149e-01	8.046066565236875689e-03
3.780756151230246220e-01	8.092326225495494185e-03
3.800760152030406291e-01	8.138625482480899009e-03
3.820764152830566363e-01	8.184964386856563578e-03
3.840768153630725879e-01	8.231342989371448482e-03
3.860772154430885950e-01	8.277761340861555794e-03
3.880776155231046021e-01	8.324219492248818852e-03
3.900780156031206092e-01	8.370717494542212478e-03
3.920784156831366163e-01	8.417255398837530933e-03
3.940788157631526234e-01	8.463833256317165876e-03
3.960792158431686305e-01	8.510451118251216585e-03
3.980796159231846376e-01	8.557109035997045865e-03
4.000800160032006447e-01	8.603807060999724143e-03
4.020804160832166518e-01	8.650545244791807420e-03
4.040808161632326589e-01	8.697323638994225448e-03
4.060812162432486661e-01	8.744142295315837643e-03
4.080816163232646732e-01	8.791001265553433086e-03
4.100820164032806803e-01	8.837900601593284833e-03
4.120824164832966874e-01	8.884840355409817647e-03
4.140828165633126390e-01	8.931820579066052090e-03
4.160832166433286461e-01	8.978841324714492700e-03
4.180836167233446532e-01	9.025902644597350033e-03
4.200840168033606603e-01	9.073004591045430445e-03
4.220844168833766674e-01	9.120147216479912444e-03
4.240848169633926745e-01	9.167330573411236472e-03
4.260852170434086816e-01	9.214554714440659211e-03
4.280856171234246887e-01	9.261819692258921322e-03
4.300860172034406959e-01	9.309125559647579706e-03
4.320864172834567030e-01	9.356472369478785467e-03
4.340868173634727101e-01	9.403860174715727993e-03
4.360872174434887172e-01	9.451289028412190873e-03
4.380876175235047243e-01	9.498758983713218029e-03
4.400880176035207314e-01	9.546270093855779848e-03
4.420884176835366830e-01	9.593822412167885005e-03
4.440888177635526901e-01	9.641415992069468643e-03
4.460892178435686972e-01	9.689050887072836460e-03
4.480896179235847043e-01	9.736727150781776530e-03
4.500900180036007114e-01	9.784444836893335662e-03
4.520904180836167185e-01	9.832203999196265087e-03
4.540908181636327257e-01	9.880004691573018860e-03
4.560912182436487328e-01	9.927846967998199545e-03
4.580916183236647399e-01	9.975730882540112532e-03
4.600920184036807470e-01	1.002365648936032194e-02
4.620924184836967541e-01	1.007162384271409472e-02
4.640928185637127612e-01	1.011963299695017859e-02
4.660932186437287683e-01	1.016768400651169024e-02
4.680936187237447754e-01	1.021577692593544917e-02
4.700940188037607270e-01	1.026391180985330998e-02
4.720944188837767341e-01	1.031208871299149621e-02
4.740948189637927412e-01	1.036030769017037834e-02
4.760952190438087483e-01	1.040856879630669418e-02
4.780956191238247555e-01	1.045687208641088439e-02
4.800960192038407626e-01	1.050521761558997902e-02
4.820964192838567697e-01	1.055360543904626525e-02
4.840968193638727768e-01	1.060203561207750944e-02
4.860972194438887839e-01	1.065050819007784533e-02
4.880976195239047910e-01	1.069902322853799603e-02
4.900980196039207981e-01	1.074758078304438591e-02
4.920984196839368052e-01	1.079618090928047280e-02
4.940988197639528123e-01	1.084482366302697010e-02
4.960992198439688194e-01	1.089350910016095852e-02
4.980996199239847710e-01	1.094223727665744050e-02
5.001000200040007782e-01	1.099100824858867398e-02
5.021004200840167853e-01	1.103982207212439448e-02
5.041008201640327924e-01	1.108867880353248125e-02
5.061012202440487995e-01	1.113757849917940135e-02
5.081016203240648066e-01	1.118652121552909939e-02
5.101020204040808137e-01	1.123550700914477396e-02
5.121024204840968208e-01	1.128453593668821142e-02
5.141028205641128279e-01	1.133360805492000800e-02
5.161032206441288350e-01	1.138272342070023591e-02
5.181036207241448421e-01	1.143188209098844332e-02
5.201040208041608492e-01	1.148108412284343238e-02
5.221044208841768564e-01	1.153032957342414733e-02
5.241048209641928635e-01	1.157961849998989656e-02
5.261052210442088706e-01	1.162895095989968652e-02
5.281056211242248777e-01	1.167832701061333189e-02
5.301060212042408848e-01	1.172774670969145561e-02
5.321064212842568919e-01	1.177721011479571089e-02
5.341068213642728990e-01	1.182671728368878128e-02
5.361072214442889061e-01	1.187626827423460263e-02
5.381076215243049132e-01	1.192586314439902928e-02
5.401080216043209203e-01	1.197550195224938996e-02
5.421084216843368164e-01	1.202518475595582004e-02
5.441088217643528235e-01	1.207491161378970723e-02
5.461092218443688306e-01	1.212468258412591204e-02
5.481096219243848378e-01	1.217449772544143549e-02
