epoch 	 loss
1.000000000000000000e+00	-1.772799640893936157e-01
2.000000000000000000e+00	-3.778251111507415771e-01
3.000000000000000000e+00	-4.389468431472778320e-01
4.000000000000000000e+00	-4.074702858924865723e-01
5.000000000000000000e+00	-3.671776056289672852e-01
6.000000000000000000e+00	-3.647570610046386719e-01
7.000000000000000000e+00	-3.934446275234222412e-01
8.000000000000000000e+00	-4.305778145790100098e-01
9.000000000000000000e+00	-4.576174914836883545e-01
1.000000000000000000e+01	-4.663401246070861816e-01
1.100000000000000000e+01	-4.598860740661621094e-01
1.200000000000000000e+01	-4.490609169006347656e-01
1.300000000000000000e+01	-4.446114003658294678e-01
1.400000000000000000e+01	-4.509254097938537598e-01
1.500000000000000000e+01	-4.654013216495513916e-01
1.600000000000000000e+01	-4.818327724933624268e-01
1.700000000000000000e+01	-4.943774044513702393e-01
1.800000000000000000e+01	-5.002936124801635742e-01
1.900000000000000000e+01	-5.007791519165039062e-01
2.000000000000000000e+01	-4.996714293956756592e-01
2.100000000000000000e+01	-5.009927153587341309e-01
2.200000000000000000e+01	-5.067588686943054199e-01
2.300000000000000000e+01	-5.163004398345947266e-01
2.400000000000000000e+01	-5.271458029747009277e-01
2.500000000000000000e+01	-5.366351604461669922e-01
2.600000000000000000e+01	-5.433409214019775391e-01
2.700000000000000000e+01	-5.476625561714172363e-01
2.800000000000000000e+01	-5.513752102851867676e-01
2.900000000000000000e+01	-5.564422011375427246e-01
3.000000000000000000e+01	-5.633109807968139648e-01
3.100000000000000000e+01	-5.720292329788208008e-01
3.200000000000000000e+01	-5.813472867012023926e-01
3.300000000000000000e+01	-5.898829698562622070e-01
3.400000000000000000e+01	-5.970216989517211914e-01
3.500000000000000000e+01	-6.031535267829895020e-01
3.600000000000000000e+01	-6.082679033279418945e-01
3.700000000000000000e+01	-6.151249408721923828e-01
3.800000000000000000e+01	-6.230383515357971191e-01
3.900000000000000000e+01	-6.308561563491821289e-01
4.000000000000000000e+01	-6.384246349334716797e-01
4.100000000000000000e+01	-6.452013254165649414e-01
4.200000000000000000e+01	-6.512249112129211426e-01
4.300000000000000000e+01	-6.570004820823669434e-01
4.400000000000000000e+01	-6.630761027336120605e-01
4.500000000000000000e+01	-6.696186065673828125e-01
4.600000000000000000e+01	-6.763277053833007812e-01
4.700000000000000000e+01	-6.819261908531188965e-01
4.800000000000000000e+01	-6.880131959915161133e-01
4.900000000000000000e+01	-6.927906274795532227e-01
5.000000000000000000e+01	-6.973369121551513672e-01
5.100000000000000000e+01	-7.019285559654235840e-01
5.200000000000000000e+01	-7.066547274589538574e-01
5.300000000000000000e+01	-7.113381624221801758e-01
5.400000000000000000e+01	-7.157320380210876465e-01
5.500000000000000000e+01	-7.197537422180175781e-01
5.600000000000000000e+01	-7.235283255577087402e-01
5.700000000000000000e+01	-7.272962331771850586e-01
5.800000000000000000e+01	-7.312058806419372559e-01
5.900000000000000000e+01	-7.352117896080017090e-01
6.000000000000000000e+01	-7.391893267631530762e-01
6.100000000000000000e+01	-7.430569529533386230e-01
6.200000000000000000e+01	-7.469544410705566406e-01
6.300000000000000000e+01	-7.510384917259216309e-01
6.400000000000000000e+01	-7.553910017013549805e-01
6.500000000000000000e+01	-7.599629163742065430e-01
6.600000000000000000e+01	-7.646437883377075195e-01
6.700000000000000000e+01	-7.693497538566589355e-01
6.800000000000000000e+01	-7.741497755050659180e-01
6.900000000000000000e+01	-7.791166901588439941e-01
7.000000000000000000e+01	-7.840614318847656250e-01
7.100000000000000000e+01	-7.890805602073669434e-01
7.200000000000000000e+01	-7.942032814025878906e-01
7.300000000000000000e+01	-7.993981838226318359e-01
7.400000000000000000e+01	-8.046354651451110840e-01
7.500000000000000000e+01	-8.099639415740966797e-01
7.600000000000000000e+01	-8.153656721115112305e-01
7.700000000000000000e+01	-8.207992315292358398e-01
7.800000000000000000e+01	-8.262746930122375488e-01
7.900000000000000000e+01	-8.318347930908203125e-01
8.000000000000000000e+01	-8.374997377395629883e-01
8.100000000000000000e+01	-8.433153629302978516e-01
8.200000000000000000e+01	-8.492501974105834961e-01
8.300000000000000000e+01	-8.550866246223449707e-01
8.400000000000000000e+01	-8.610541224479675293e-01
8.500000000000000000e+01	-8.671740889549255371e-01
8.600000000000000000e+01	-8.734244704246520996e-01
8.700000000000000000e+01	-8.797719478607177734e-01
8.800000000000000000e+01	-8.862065672874450684e-01
8.900000000000000000e+01	-8.927425742149353027e-01
9.000000000000000000e+01	-8.993538618087768555e-01
9.100000000000000000e+01	-9.060258269309997559e-01
9.200000000000000000e+01	-9.128593206405639648e-01
9.300000000000000000e+01	-9.197759032249450684e-01
9.400000000000000000e+01	-9.268287420272827148e-01
9.500000000000000000e+01	-9.339962005615234375e-01
9.600000000000000000e+01	-9.412549138069152832e-01
9.700000000000000000e+01	-9.485478401184082031e-01
9.800000000000000000e+01	-9.558988213539123535e-01
9.900000000000000000e+01	-9.633271694183349609e-01
1.000000000000000000e+02	-9.708332419395446777e-01
1.010000000000000000e+02	-9.783893227577209473e-01
1.020000000000000000e+02	-9.860206842422485352e-01
1.030000000000000000e+02	-9.937179684638977051e-01
1.040000000000000000e+02	-1.001459002494812012e+00
1.050000000000000000e+02	-1.009203195571899414e+00
1.060000000000000000e+02	-1.016979098320007324e+00
1.070000000000000000e+02	-1.024622440338134766e+00
1.080000000000000000e+02	-1.032141685485839844e+00
1.090000000000000000e+02	-1.039648532867431641e+00
1.100000000000000000e+02	-1.047107577323913574e+00
1.110000000000000000e+02	-1.054546952247619629e+00
1.120000000000000000e+02	-1.061981916427612305e+00
1.130000000000000000e+02	-1.069397211074829102e+00
1.140000000000000000e+02	-1.076765418052673340e+00
1.150000000000000000e+02	-1.084111690521240234e+00
1.160000000000000000e+02	-1.091425895690917969e+00
1.170000000000000000e+02	-1.098701477050781250e+00
1.180000000000000000e+02	-1.105953931808471680e+00
1.190000000000000000e+02	-1.113179087638854980e+00
1.200000000000000000e+02	-1.120374321937561035e+00
1.210000000000000000e+02	-1.127553820610046387e+00
1.220000000000000000e+02	-1.134721875190734863e+00
1.230000000000000000e+02	-1.141886830329895020e+00
1.240000000000000000e+02	-1.149065136909484863e+00
1.250000000000000000e+02	-1.156266570091247559e+00
1.260000000000000000e+02	-1.163503527641296387e+00
1.270000000000000000e+02	-1.170782923698425293e+00
1.280000000000000000e+02	-1.178144216537475586e+00
1.290000000000000000e+02	-1.185571908950805664e+00
1.300000000000000000e+02	-1.193050384521484375e+00
1.310000000000000000e+02	-1.200612545013427734e+00
1.320000000000000000e+02	-1.208289861679077148e+00
1.330000000000000000e+02	-1.215993404388427734e+00
1.340000000000000000e+02	-1.223717093467712402e+00
1.350000000000000000e+02	-1.231443524360656738e+00
1.360000000000000000e+02	-1.239147782325744629e+00
1.370000000000000000e+02	-1.246819734573364258e+00
1.380000000000000000e+02	-1.254418373107910156e+00
1.390000000000000000e+02	-1.261845469474792480e+00
1.400000000000000000e+02	-1.269082784652709961e+00
1.410000000000000000e+02	-1.276092767715454102e+00
1.420000000000000000e+02	-1.282817959785461426e+00
1.430000000000000000e+02	-1.289242267608642578e+00
1.440000000000000000e+02	-1.295301079750061035e+00
1.450000000000000000e+02	-1.300915598869323730e+00
1.460000000000000000e+02	-1.306239366531372070e+00
1.470000000000000000e+02	-1.311260461807250977e+00
1.480000000000000000e+02	-1.316032528877258301e+00
1.490000000000000000e+02	-1.320565342903137207e+00
1.500000000000000000e+02	-1.324912190437316895e+00
1.510000000000000000e+02	-1.329098820686340332e+00
1.520000000000000000e+02	-1.333183050155639648e+00
1.530000000000000000e+02	-1.337204933166503906e+00
1.540000000000000000e+02	-1.341209053993225098e+00
1.550000000000000000e+02	-1.345201373100280762e+00
1.560000000000000000e+02	-1.349197626113891602e+00
1.570000000000000000e+02	-1.353201031684875488e+00
1.580000000000000000e+02	-1.357200503349304199e+00
1.590000000000000000e+02	-1.361181497573852539e+00
1.600000000000000000e+02	-1.365118384361267090e+00
1.610000000000000000e+02	-1.368987441062927246e+00
1.620000000000000000e+02	-1.372776150703430176e+00
1.630000000000000000e+02	-1.376462101936340332e+00
1.640000000000000000e+02	-1.380019903182983398e+00
1.650000000000000000e+02	-1.383444309234619141e+00
1.660000000000000000e+02	-1.386733770370483398e+00
1.670000000000000000e+02	-1.389865279197692871e+00
1.680000000000000000e+02	-1.392907619476318359e+00
1.690000000000000000e+02	-1.395782470703125000e+00
1.700000000000000000e+02	-1.398564457893371582e+00
1.710000000000000000e+02	-1.401206254959106445e+00
1.720000000000000000e+02	-1.403725266456604004e+00
1.730000000000000000e+02	-1.406117200851440430e+00
1.740000000000000000e+02	-1.408396720886230469e+00
1.750000000000000000e+02	-1.410551548004150391e+00
1.760000000000000000e+02	-1.412589669227600098e+00
1.770000000000000000e+02	-1.414513826370239258e+00
1.780000000000000000e+02	-1.416326403617858887e+00
1.790000000000000000e+02	-1.418023824691772461e+00
1.800000000000000000e+02	-1.419606208801269531e+00
1.810000000000000000e+02	-1.421046495437622070e+00
1.820000000000000000e+02	-1.422366499900817871e+00
1.830000000000000000e+02	-1.423549890518188477e+00
1.840000000000000000e+02	-1.424813508987426758e+00
1.850000000000000000e+02	-1.425985574722290039e+00
1.860000000000000000e+02	-1.426926851272583008e+00
1.870000000000000000e+02	-1.427826642990112305e+00
1.880000000000000000e+02	-1.428797602653503418e+00
1.890000000000000000e+02	-1.429742932319641113e+00
1.900000000000000000e+02	-1.430558562278747559e+00
1.910000000000000000e+02	-1.431409120559692383e+00
1.920000000000000000e+02	-1.432290434837341309e+00
1.930000000000000000e+02	-1.433050632476806641e+00
1.940000000000000000e+02	-1.433755278587341309e+00
1.950000000000000000e+02	-1.434503197669982910e+00
1.960000000000000000e+02	-1.435217857360839844e+00
1.970000000000000000e+02	-1.435856103897094727e+00
1.980000000000000000e+02	-1.436506390571594238e+00
1.990000000000000000e+02	-1.437185287475585938e+00
2.000000000000000000e+02	-1.437824964523315430e+00
2.010000000000000000e+02	-1.438425540924072266e+00
2.020000000000000000e+02	-1.439044594764709473e+00
2.030000000000000000e+02	-1.439688324928283691e+00
2.040000000000000000e+02	-1.440319538116455078e+00
2.050000000000000000e+02	-1.440944671630859375e+00
2.060000000000000000e+02	-1.441602349281311035e+00
2.070000000000000000e+02	-1.442299365997314453e+00
2.080000000000000000e+02	-1.443015336990356445e+00
2.090000000000000000e+02	-1.443739175796508789e+00
2.100000000000000000e+02	-1.444460034370422363e+00
2.110000000000000000e+02	-1.445219874382019043e+00
2.120000000000000000e+02	-1.446022510528564453e+00
2.130000000000000000e+02	-1.446863889694213867e+00
2.140000000000000000e+02	-1.447737693786621094e+00
2.150000000000000000e+02	-1.448644042015075684e+00
2.160000000000000000e+02	-1.449586749076843262e+00
2.170000000000000000e+02	-1.450568318367004395e+00
2.180000000000000000e+02	-1.451588392257690430e+00
2.190000000000000000e+02	-1.452642560005187988e+00
2.200000000000000000e+02	-1.453725695610046387e+00
2.210000000000000000e+02	-1.454828500747680664e+00
2.220000000000000000e+02	-1.455949425697326660e+00
2.230000000000000000e+02	-1.457096099853515625e+00
2.240000000000000000e+02	-1.458302259445190430e+00
2.250000000000000000e+02	-1.459585309028625488e+00
2.260000000000000000e+02	-1.460919857025146484e+00
2.270000000000000000e+02	-1.462230443954467773e+00
2.280000000000000000e+02	-1.463479161262512207e+00
2.290000000000000000e+02	-1.464678883552551270e+00
2.300000000000000000e+02	-1.465857505798339844e+00
2.310000000000000000e+02	-1.467047333717346191e+00
2.320000000000000000e+02	-1.468271493911743164e+00
2.330000000000000000e+02	-1.469544887542724609e+00
2.340000000000000000e+02	-1.470826745033264160e+00
2.350000000000000000e+02	-1.472066640853881836e+00
2.360000000000000000e+02	-1.473241925239562988e+00
2.370000000000000000e+02	-1.474364519119262695e+00
2.380000000000000000e+02	-1.475452780723571777e+00
2.390000000000000000e+02	-1.476525068283081055e+00
2.400000000000000000e+02	-1.477603673934936523e+00
2.410000000000000000e+02	-1.478708386421203613e+00
