iter	loss
1.000000000000000000e+00	4.829210415482521057e-02
2.000000000000000000e+00	5.976041406393051147e-02
3.000000000000000000e+00	7.186727970838546753e-02
4.000000000000000000e+00	8.426155894994735718e-02
5.000000000000000000e+00	9.662143886089324951e-02
6.000000000000000000e+00	1.087978407740592957e-01
7.000000000000000000e+00	1.212724447250366211e-01
8.000000000000000000e+00	1.331975609064102173e-01
9.000000000000000000e+00	1.446926295757293701e-01
1.000000000000000000e+01	1.559847146272659302e-01
2.000000000000000000e+01	2.771140933036804199e-01
3.000000000000000000e+01	4.412381052970886230e-01
4.000000000000000000e+01	6.412239074707031250e-01
5.000000000000000000e+01	8.724704384803771973e-01
6.000000000000000000e+01	1.155299782752990723e+00
7.000000000000000000e+01	1.472837567329406738e+00
8.000000000000000000e+01	1.827262282371520996e+00
9.000000000000000000e+01	2.208729505538940430e+00
1.000000000000000000e+02	2.607645988464355469e+00
1.100000000000000000e+02	3.018751382827758789e+00
1.200000000000000000e+02	3.436037778854370117e+00
1.300000000000000000e+02	3.851244926452636719e+00
1.400000000000000000e+02	4.266353130340576172e+00
1.500000000000000000e+02	4.671995639801025391e+00
1.600000000000000000e+02	5.070566177368164062e+00
1.700000000000000000e+02	5.453872203826904297e+00
1.800000000000000000e+02	5.831566333770751953e+00
1.900000000000000000e+02	6.191876888275146484e+00
2.000000000000000000e+02	6.537992000579833984e+00
2.100000000000000000e+02	6.866609573364257812e+00
2.200000000000000000e+02	7.176074028015136719e+00
2.300000000000000000e+02	7.475323677062988281e+00
2.400000000000000000e+02	7.755281448364257812e+00
2.500000000000000000e+02	8.011277198791503906e+00
2.600000000000000000e+02	8.252798080444335938e+00
2.700000000000000000e+02	8.475668907165527344e+00
2.800000000000000000e+02	8.688055038452148438e+00
2.900000000000000000e+02	8.874971389770507812e+00
3.000000000000000000e+02	9.043825149536132812e+00
3.100000000000000000e+02	9.206956863403320312e+00
3.200000000000000000e+02	9.349122047424316406e+00
3.300000000000000000e+02	9.476484298706054688e+00
3.400000000000000000e+02	9.593949317932128906e+00
3.500000000000000000e+02	9.696349143981933594e+00
3.600000000000000000e+02	9.784009933471679688e+00
