x 	 u_pred 	 u_exact
5.500000000000000444e-01	6.677190168659139502e-01	6.580424075766573289e-01
5.600000000000000533e-01	6.759934799084644785e-01	6.663948297239661311e-01
5.700000000000000622e-01	6.841907211117060905e-01	6.747026236713719038e-01
5.799999999999999600e-01	6.923132551364955534e-01	6.829668046859956876e-01
5.899999999999999689e-01	7.003635379550247064e-01	6.911883478725526775e-01
5.999999999999999778e-01	7.083439669688745832e-01	6.993681904144294359e-01
6.099999999999999867e-01	7.162568812005203345e-01	7.075072336545158436e-01
6.199999999999999956e-01	7.241045615541367164e-01	7.156063450296854533e-01
6.300000000000000044e-01	7.318892311416274055e-01	7.236663598714063728e-01
6.400000000000000133e-01	7.396130556698734537e-01	7.316880830837221295e-01
6.500000000000000222e-01	7.472781438852954539e-01	7.396722907087351917e-01
6.600000000000000311e-01	7.548865480719042509e-01	7.476197313887467111e-01
6.700000000000000400e-01	7.624402645991273930e-01	7.555311277333358611e-01
6.800000000000000488e-01	7.699412345157907733e-01	7.634071775988812147e-01
6.900000000000000577e-01	7.773913441867515983e-01	7.712485552873363792e-01
7.000000000000000666e-01	7.847924259687890647e-01	7.790559126704491577e-01
7.099999999999999645e-01	7.921462589224692596e-01	7.868298802450581775e-01
7.199999999999999734e-01	7.994545695568259225e-01	7.945710681246025420e-01
7.299999999999999822e-01	8.067190326038061743e-01	8.022800669715298705e-01
7.399999999999999911e-01	8.139412718195596641e-01	8.099574488748874090e-01
7.500000000000000000e-01	8.211228608097617121e-01	8.176037681770133014e-01
7.600000000000000089e-01	8.282653238762842651e-01	8.252195622529189256e-01
7.700000000000000178e-01	8.353701368826441653e-01	8.328053522456562163e-01
7.800000000000000266e-01	8.424387281357806900e-01	8.403616437606930001e-01
7.900000000000000355e-01	8.494724792818244552e-01	8.478889275220773403e-01
8.000000000000000444e-01	8.564727262136415664e-01	8.553876799929505115e-01
8.100000000000000533e-01	8.634407599880467021e-01	8.628583639627644963e-01
8.200000000000000622e-01	8.703778277506869498e-01	8.703014291033819294e-01
8.300000000000000711e-01	8.772851336667135680e-01	8.777173124960632178e-01
8.399999999999999689e-01	8.841638398554612088e-01	8.851064391311986856e-01
8.499999999999999778e-01	8.910150673274540578e-01	8.924692223825022586e-01
8.599999999999999867e-01	8.978398969221691450e-01	8.998060644572551947e-01
8.699999999999999956e-01	9.046393702450709062e-01	9.071173568240763485e-01
8.800000000000000044e-01	9.114144906025405390e-01	9.144034806195818765e-01
8.900000000000000133e-01	9.181662239334025255e-01	9.216648070352077005e-01
9.000000000000000222e-01	9.248954997358449504e-01	9.289016976853710084e-01
9.100000000000000311e-01	9.316032119886202834e-01	9.361145049580709143e-01
9.200000000000000400e-01	9.382902200654796854e-01	9.433035723489462399e-01
9.300000000000000488e-01	9.449573496418941509e-01	9.504692347797455421e-01
9.400000000000000577e-01	9.516053935931697572e-01	9.576118189020933480e-01
9.500000000000000666e-01	9.582351128831512188e-01	9.647316433873818209e-01
9.599999999999999645e-01	9.648472374427764509e-01	9.718290192035610175e-01
9.699999999999999734e-01	9.714424670377937998e-01	9.789042498795496039e-01
9.799999999999999822e-01	9.780214721250470866e-01	9.859576317579406002e-01
9.899999999999999911e-01	9.845848946967600268e-01	9.929894542366357602e-01
1.000000000000000000e+00	9.911333491123320849e-01	1.000000000000000000e+00
1.010000000000000009e+00	9.976674229172062258e-01	1.006989545240089434e+00
1.020000000000000018e+00	1.004187677648408883e+00	1.013958359868474934e+00
1.030000000000000027e+00	1.010694649626429520e+00	1.020906707719148043e+00
1.040000000000000036e+00	1.017188850733139027e+00	1.027834846742967212e+00
1.050000000000000044e+00	1.023670769175492046e+00	1.034743029194076458e+00
1.060000000000000053e+00	1.030140870234802497e+00	1.041631501808699012e+00
1.070000000000000062e+00	1.036599597001423234e+00	1.048500505976688757e+00
1.080000000000000071e+00	1.043047371094677489e+00	1.055350277906196510e+00
1.090000000000000080e+00	1.049484593367954410e+00	1.062181048781787984e+00
1.100000000000000089e+00	1.055911644598879429e+00	1.068993044916332957e+00
1.110000000000000098e+00	1.062328886164530140e+00	1.075786487896965182e+00
1.120000000000000107e+00	1.068736660701666397e+00	1.082561594725393928e+00
1.130000000000000115e+00	1.075135292751998151e+00	1.089318577952836486e+00
1.140000000000000124e+00	1.081525089392512129e+00	1.096057645809822345e+00
1.150000000000000133e+00	1.087906340850917530e+00	1.102779002331107261e+00
1.159999999999999920e+00	1.094279321106282898e+00	1.109482847475921963e+00
