x	u_pred	u_exact
3.203203082084655762e-01	-1.728857494890689850e-02	1.026050969958305359e-01
3.303303420543670654e-01	-1.296249683946371078e-02	1.091181337833404541e-01
3.403403460979461670e-01	-8.338614366948604584e-03	1.158315539360046387e-01
3.503503501415252686e-01	-3.422450739890336990e-03	1.227453649044036865e-01
3.603603541851043701e-01	1.789955538697540760e-03	1.298595815896987915e-01
3.703703582286834717e-01	7.292669732123613358e-03	1.371742039918899536e-01
3.803803920745849609e-01	1.308932248502969742e-02	1.446892470121383667e-01
3.903903961181640625e-01	1.917490176856517792e-02	1.524046659469604492e-01
4.004004001617431641e-01	2.555135078728199005e-02	1.603204756975173950e-01
4.104104042053222656e-01	3.221705928444862366e-02	1.684367060661315918e-01
4.204204082489013672e-01	3.916982933878898621e-02	1.767533123493194580e-01
4.304304420948028564e-01	4.640831053256988525e-02	1.852703690528869629e-01
4.404404461383819580e-01	5.393160879611968994e-02	1.939877867698669434e-01
4.504504501819610596e-01	6.173983216285705566e-02	2.029056102037429810e-01
4.604604542255401611e-01	6.982950866222381592e-02	2.120238244533538818e-01
4.704704582691192627e-01	7.819906622171401978e-02	2.213424593210220337e-01
4.804804921150207520e-01	8.685021847486495972e-02	2.308614999055862427e-01
4.904904961585998535e-01	9.577814489603042603e-02	2.405809313058853149e-01
5.005005002021789551e-01	1.049823239445686340e-01	2.505007386207580566e-01
5.105105042457580566e-01	1.144633963704109192e-01	2.606209814548492432e-01
5.205205082893371582e-01	1.242133751511573792e-01	2.709415853023529053e-01
5.305305123329162598e-01	1.342386603355407715e-01	2.814626097679138184e-01
5.405405163764953613e-01	1.445346921682357788e-01	2.921840548515319824e-01
5.505505800247192383e-01	1.550979465246200562e-01	3.031059503555297852e-01
5.605605840682983398e-01	1.659284681081771851e-01	3.142281770706176758e-01
5.705705881118774414e-01	1.770232170820236206e-01	3.255507946014404297e-01
5.805805921554565430e-01	1.883823275566101074e-01	3.370738327503204346e-01
5.905905961990356445e-01	2.000046521425247192e-01	3.487972617149353027e-01
6.006006002426147461e-01	2.118851989507675171e-01	3.607210814952850342e-01
6.106106042861938477e-01	2.240240275859832764e-01	3.728453218936920166e-01
6.206206083297729492e-01	2.364220470190048218e-01	3.851699531078338623e-01
6.306306123733520508e-01	2.490747720003128052e-01	3.976949751377105713e-01
6.406406164169311523e-01	2.619796991348266602e-01	4.104203879833221436e-01
6.506506800651550293e-01	2.751370668411254883e-01	4.233463108539581299e-01
6.606606841087341309e-01	2.885428965091705322e-01	4.364725351333618164e-01
6.706706881523132324e-01	3.022003471851348877e-01	4.497991800308227539e-01
6.806806921958923340e-01	3.161033987998962402e-01	4.633262157440185547e-01
6.906906962394714355e-01	3.302502036094665527e-01	4.770536422729492188e-01
7.007007002830505371e-01	3.446403741836547852e-01	4.909814596176147461e-01
7.107107043266296387e-01	3.592750728130340576e-01	5.051097273826599121e-01
7.207207083702087402e-01	3.741466104984283447e-01	5.194383263587951660e-01
7.307307124137878418e-01	3.892592191696166992e-01	5.339673757553100586e-01
7.407407164573669434e-01	4.046065509319305420e-01	5.486968159675598145e-01
7.507507801055908203e-01	4.201883971691131592e-01	5.636267066001892090e-01
7.607607841491699219e-01	4.360075891017913818e-01	5.787569880485534668e-01
7.707707881927490234e-01	4.520578682422637939e-01	5.940876007080078125e-01
7.807807922363281250e-01	4.683374464511871338e-01	6.096186637878417969e-01
7.907907962799072266e-01	4.848462045192718506e-01	6.253500580787658691e-01
8.008008003234863281e-01	5.015841722488403320e-01	6.412819027900695801e-01
8.108108043670654297e-01	5.185438394546508789e-01	6.574141383171081543e-01
8.208208084106445312e-01	5.357325673103332520e-01	6.737468242645263672e-01
8.308308124542236328e-01	5.531430840492248535e-01	6.902798414230346680e-01
8.408408164978027344e-01	5.707729458808898926e-01	7.070132493972778320e-01
8.508508801460266113e-01	5.886237621307373047e-01	7.239472270011901855e-01
8.608608841896057129e-01	6.066948771476745605e-01	7.410814762115478516e-01
8.708708882331848145e-01	6.249821782112121582e-01	7.584161162376403809e-01
8.808808922767639160e-01	6.434876918792724609e-01	7.759511470794677734e-01
8.908908963203430176e-01	6.622027158737182617e-01	7.936865687370300293e-01
9.009009003639221191e-01	6.811354756355285645e-01	8.116224408149719238e-01
9.109109044075012207e-01	7.002775073051452637e-01	8.297587037086486816e-01
9.209209084510803223e-01	7.196308374404907227e-01	8.480952978134155273e-01
9.309309124946594238e-01	7.391940951347351074e-01	8.666323423385620117e-01
9.409409165382385254e-01	7.589657306671142578e-01	8.853698372840881348e-01
9.509509801864624023e-01	7.789453864097595215e-01	9.043077826499938965e-01
9.609609842300415039e-01	7.991288900375366211e-01	9.234459996223449707e-01
9.709709882736206055e-01	8.195195198059082031e-01	9.427846670150756836e-01
9.809809923171997070e-01	8.401113152503967285e-01	9.623237252235412598e-01
9.909909963607788086e-01	8.609046936035156250e-01	9.820631742477416992e-01
1.001001000404357910e+00	8.818993568420410156e-01	1.002002954483032227e+00
1.011011004447937012e+00	9.030951857566833496e-01	1.022143244743347168e+00
1.021021008491516113e+00	9.244915246963500977e-01	1.042483925819396973e+00
1.031031012535095215e+00	9.460826516151428223e-01	1.063024997711181641e+00
1.041041016578674316e+00	9.678719639778137207e-01	1.083766341209411621e+00
1.051051020622253418e+00	9.898592829704284668e-01	1.104708194732666016e+00
1.061061024665832520e+00	1.012038707733154297e+00	1.125850439071655273e+00
1.071071028709411621e+00	1.034412860870361328e+00	1.147193193435668945e+00
1.081081032752990723e+00	1.056980729103088379e+00	1.168736219406127930e+00
1.091091036796569824e+00	1.079738974571228027e+00	1.190479636192321777e+00
