x	u_pred	u_exact
7.307307124137878418e-01	3.879909038543701172e+00	5.339673757553100586e-01
7.407407164573669434e-01	3.896347045898437500e+00	5.486968159675598145e-01
7.507507801055908203e-01	3.913382053375244141e+00	5.636267066001892090e-01
7.607607841491699219e-01	3.930978298187255859e+00	5.787569880485534668e-01
7.707707881927490234e-01	3.949124574661254883e+00	5.940876007080078125e-01
7.807807922363281250e-01	3.967811346054077148e+00	6.096186637878417969e-01
7.907907962799072266e-01	3.987011909484863281e+00	6.253500580787658691e-01
8.008008003234863281e-01	4.006707668304443359e+00	6.412819027900695801e-01
8.108108043670654297e-01	4.026894092559814453e+00	6.574141383171081543e-01
8.208208084106445312e-01	4.047524929046630859e+00	6.737468242645263672e-01
8.308308124542236328e-01	4.068614482879638672e+00	6.902798414230346680e-01
8.408408164978027344e-01	4.090131282806396484e+00	7.070132493972778320e-01
8.508508801460266113e-01	4.112061023712158203e+00	7.239472270011901855e-01
8.608608841896057129e-01	4.134385585784912109e+00	7.410814762115478516e-01
8.708708882331848145e-01	4.157092094421386719e+00	7.584161162376403809e-01
8.808808922767639160e-01	4.180163383483886719e+00	7.759511470794677734e-01
8.908908963203430176e-01	4.203586101531982422e+00	7.936865687370300293e-01
9.009009003639221191e-01	4.227338790893554688e+00	8.116224408149719238e-01
9.109109044075012207e-01	4.251411437988281250e+00	8.297587037086486816e-01
9.209209084510803223e-01	4.275805950164794922e+00	8.480952978134155273e-01
9.309309124946594238e-01	4.300486087799072266e+00	8.666323423385620117e-01
9.409409165382385254e-01	4.325451374053955078e+00	8.853698372840881348e-01
9.509509801864624023e-01	4.350679874420166016e+00	9.043077826499938965e-01
9.609609842300415039e-01	4.376156330108642578e+00	9.234459996223449707e-01
9.709709882736206055e-01	4.401892662048339844e+00	9.427846670150756836e-01
9.809809923171997070e-01	4.427866935729980469e+00	9.623237252235412598e-01
9.909909963607788086e-01	4.454056262969970703e+00	9.820631742477416992e-01
1.001001000404357910e+00	4.480455398559570312e+00	1.002002954483032227e+00
1.011011004447937012e+00	4.507071018218994141e+00	1.022143244743347168e+00
1.021021008491516113e+00	4.533868789672851562e+00	1.042483925819396973e+00
1.031031012535095215e+00	4.560862064361572266e+00	1.063024997711181641e+00
1.041041016578674316e+00	4.588032245635986328e+00	1.083766341209411621e+00
1.051051020622253418e+00	4.615365982055664062e+00	1.104708194732666016e+00
1.061061024665832520e+00	4.642858028411865234e+00	1.125850439071655273e+00
1.071071028709411621e+00	4.670511722564697266e+00	1.147193193435668945e+00
1.081081032752990723e+00	4.698309421539306641e+00	1.168736219406127930e+00
1.091091036796569824e+00	4.726244449615478516e+00	1.190479636192321777e+00
1.101101160049438477e+00	4.754318237304687500e+00	1.212423801422119141e+00
1.111111164093017578e+00	4.782511234283447266e+00	1.234567999839782715e+00
1.121121168136596680e+00	4.810841083526611328e+00	1.256912708282470703e+00
1.131131172180175781e+00	4.839272499084472656e+00	1.279457688331604004e+00
1.141141176223754883e+00	4.867829799652099609e+00	1.302203178405761719e+00
1.151151180267333984e+00	4.896492004394531250e+00	1.325149059295654297e+00
1.161161184310913086e+00	4.925252914428710938e+00	1.348295331001281738e+00
1.171171188354492188e+00	4.954117774963378906e+00	1.371641993522644043e+00
1.181181192398071289e+00	4.983070373535156250e+00	1.395189046859741211e+00
1.191191196441650391e+00	5.012129783630371094e+00	1.418936491012573242e+00
1.201201200485229492e+00	5.041273593902587891e+00	1.442884325981140137e+00
1.211211204528808594e+00	5.070489883422851562e+00	1.467032551765441895e+00
1.221221208572387695e+00	5.099809169769287109e+00	1.491381287574768066e+00
1.231231212615966797e+00	5.129189968109130859e+00	1.515930294990539551e+00
1.241241216659545898e+00	5.158670425415039062e+00	1.540679812431335449e+00
1.251251220703125000e+00	5.188215732574462891e+00	1.565629601478576660e+00
1.261261224746704102e+00	5.217838764190673828e+00	1.590779900550842285e+00
1.271271228790283203e+00	5.247529029846191406e+00	1.616130590438842773e+00
1.281281232833862305e+00	5.277308940887451172e+00	1.641681551933288574e+00
1.291291236877441406e+00	5.307144641876220703e+00	1.667433023452758789e+00
1.301301360130310059e+00	5.337046146392822266e+00	1.693385243415832520e+00
1.311311364173889160e+00	5.367017269134521484e+00	1.719537496566772461e+00
1.321321368217468262e+00	5.397063732147216797e+00	1.745890140533447266e+00
1.331331372261047363e+00	5.427191734313964844e+00	1.772443175315856934e+00
