iter	loss
1.000000000000000000e+00	4.829210415482521057e-02
2.000000000000000000e+00	5.976041406393051147e-02
3.000000000000000000e+00	7.192091643810272217e-02
4.000000000000000000e+00	8.435986936092376709e-02
5.000000000000000000e+00	9.676752984523773193e-02
6.000000000000000000e+00	1.089958176016807556e-01
7.000000000000000000e+00	1.215329542756080627e-01
8.000000000000000000e+00	1.335297822952270508e-01
9.000000000000000000e+00	1.451058685779571533e-01
1.000000000000000000e+01	1.564850062131881714e-01
1.500000000000000000e+01	2.123968303203582764e-01
2.000000000000000000e+01	2.782263755798339844e-01
2.500000000000000000e+01	3.571827709674835205e-01
3.000000000000000000e+01	4.432984590530395508e-01
3.500000000000000000e+01	5.373473167419433594e-01
4.000000000000000000e+01	6.431195139884948730e-01
4.500000000000000000e+01	7.579753398895263672e-01
5.000000000000000000e+01	8.750012516975402832e-01
5.500000000000000000e+01	1.009865403175354004e+00
6.000000000000000000e+01	1.158205986022949219e+00
6.500000000000000000e+01	1.312766075134277344e+00
7.000000000000000000e+01	1.475955486297607422e+00
7.500000000000000000e+01	1.650866866111755371e+00
8.000000000000000000e+01	1.831122517585754395e+00
8.500000000000000000e+01	2.019116640090942383e+00
9.000000000000000000e+01	2.213654041290283203e+00
9.500000000000000000e+01	2.411572694778442383e+00
1.000000000000000000e+02	2.613649845123291016e+00
1.050000000000000000e+02	2.820082426071166992e+00
1.100000000000000000e+02	3.026524066925048828e+00
1.150000000000000000e+02	3.235201358795166016e+00
1.200000000000000000e+02	3.445613622665405273e+00
1.250000000000000000e+02	3.655052900314331055e+00
1.300000000000000000e+02	3.862951517105102539e+00
1.350000000000000000e+02	4.072671413421630859e+00
1.400000000000000000e+02	4.280501842498779297e+00
1.450000000000000000e+02	4.485648155212402344e+00
1.500000000000000000e+02	4.688602924346923828e+00
1.550000000000000000e+02	4.891458511352539062e+00
1.600000000000000000e+02	5.091032981872558594e+00
1.650000000000000000e+02	5.287077426910400391e+00
1.700000000000000000e+02	5.479818344116210938e+00
1.750000000000000000e+02	5.671542167663574219e+00
1.800000000000000000e+02	5.862384796142578125e+00
1.850000000000000000e+02	6.046183586120605469e+00
