 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 11:31:48, 31/3/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error      DoFs_per_wavelength 
           1          55           1           1   116.07776612408864        3.9285714285714284     
           2          88           1           1   238.28272179759898        6.2857142857142856     
           3         144           1           1   758.68518867018679        10.285714285714286     
           4         223           1           1   48.046562386084943        15.928571428571429     
           5         405           1           1   7.9115118138419289        28.928571428571427     
           6         760           1           1   1.8109399606764869        54.285714285714285     
           7        1365           1           1  0.58140752713335875        97.500000000000000     
           8        2339           1           1  0.21342356980961408        167.07142857142858     
           9        4029           1           1   6.5975999702325136E-002   287.78571428571428     
          10        7842           1           1   1.7316809294073671E-002   560.14285714285711     
