x 	 u_exact
5.861172234446889728e-01	6.880011093782408826e-01
5.881176235247049799e-01	6.896439577986949176e-01
5.901180236047209871e-01	6.912851306944991503e-01
5.921184236847369942e-01	6.929246354455969037e-01
5.941188237647530013e-01	6.945624793746156822e-01
5.961192238447690084e-01	6.961986697475043284e-01
5.981196239247849045e-01	6.978332137741600771e-01
6.001200240048009116e-01	6.994661186090470606e-01
6.021204240848169187e-01	7.010973913518053768e-01
6.041208241648329258e-01	7.027270390478524975e-01
6.061212242448489329e-01	7.043550686889746837e-01
6.081216243248649400e-01	7.059814872139116293e-01
6.101220244048809471e-01	7.076063015089312236e-01
6.121224244848969542e-01	7.092295184083975412e-01
6.141228245649129613e-01	7.108511446953303947e-01
6.161232246449289685e-01	7.124711871019563381e-01
6.181236247249449756e-01	7.140896523102533422e-01
6.201240248049609827e-01	7.157065469524868107e-01
6.221244248849769898e-01	7.173218776117383788e-01
6.241248249649929969e-01	7.189356508224280518e-01
6.261252250450090040e-01	7.205478730708280155e-01
6.281256251250250111e-01	7.221585507955706751e-01
6.301260252050410182e-01	7.237676903881484769e-01
6.321264252850570253e-01	7.253752981934080690e-01
6.341268253650730324e-01	7.269813805100368009e-01
6.361272254450890395e-01	7.285859435910432280e-01
6.381276255251050467e-01	7.301889936442308437e-01
6.401280256051210538e-01	7.317905368326653726e-01
6.421284256851370609e-01	7.333905792751365116e-01
6.441288257651530680e-01	7.349891270466117899e-01
6.461292258451690751e-01	7.365861861786865417e-01
6.481296259251850822e-01	7.381817626600264415e-01
6.501300260052010893e-01	7.397758624368042657e-01
6.521304260852170964e-01	7.413684914131316583e-01
6.541308261652331035e-01	7.429596554514841245e-01
6.561312262452489996e-01	7.445493603731216936e-01
6.581316263252650067e-01	7.461376119585029221e-01
6.601320264052810138e-01	7.477244159476941210e-01
6.621324264852970209e-01	7.493097780407731445e-01
6.641328265653130281e-01	7.508937038982276269e-01
6.661332266453290352e-01	7.524761991413487783e-01
6.681336267253450423e-01	7.540572693526192971e-01
6.701340268053610494e-01	7.556369200760966187e-01
6.721344268853770565e-01	7.572151568177915015e-01
6.741348269653930636e-01	7.587919850460413951e-01
6.761352270454090707e-01	7.603674101918791450e-01
6.781356271254250778e-01	7.619414376493971464e-01
6.801360272054410849e-01	7.635140727761068336e-01
6.821364272854570920e-01	7.650853208932932858e-01
6.841368273654730991e-01	7.666551872863660577e-01
6.861372274454891063e-01	7.682236772052049023e-01
6.881376275255051134e-01	7.697907958645013871e-01
6.901380276055211205e-01	7.713565484440968456e-01
6.921384276855371276e-01	7.729209400893147786e-01
6.941388277655531347e-01	7.744839759112907007e-01
6.961392278455691418e-01	7.760456609872965483e-01
6.981396279255851489e-01	7.776060003610621996e-01
7.001400280056011560e-01	7.791649990430917772e-01
7.021404280856171631e-01	7.807226620109776194e-01
7.041408281656331702e-01	7.822789942097089222e-01
7.061412282456491774e-01	7.838340005519776055e-01
7.081416283256651845e-01	7.853876859184800718e-01
7.101420284056811916e-01	7.869400551582150793e-01
7.121424284856970877e-01	7.884911130887787278e-01
7.141428285657130948e-01	7.900408644966552263e-01
7.161432286457291019e-01	7.915893141375041075e-01
7.181436287257451090e-01	7.931364667364445564e-01
7.201440288057611161e-01	7.946823269883359631e-01
7.221444288857771232e-01	7.962268995580551456e-01
7.241448289657931303e-01	7.977701890807704643e-01
7.261452290458091374e-01	7.993122001622122719e-01
7.281456291258251445e-01	8.008529373789404771e-01
7.301460292058411516e-01	8.023924052786091110e-01
7.321464292858571588e-01	8.039306083802274516e-01
7.341468293658731659e-01	8.054675511744180394e-01
7.361472294458891730e-01	8.070032381236720287e-01
7.381476295259051801e-01	8.085376736626013194e-01
7.401480296059211872e-01	8.100708621981876911e-01
7.421484296859371943e-01	8.116028081100291613e-01
7.441488297659532014e-01	8.131335157505833466e-01
7.461492298459692085e-01	8.146629894454084919e-01
7.481496299259852156e-01	8.161912334934011692e-01
7.501500300060012227e-01	8.177182521670309789e-01
7.521504300860172298e-01	8.192440497125740295e-01
7.541508301660332370e-01	8.207686303503416436e-01
7.561512302460492441e-01	8.222919982749082868e-01
7.581516303260652512e-01	8.238141576553358325e-01
7.601520304060812583e-01	8.253351126353958289e-01
7.621524304860972654e-01	8.268548673337886568e-01
7.641528305661132725e-01	8.283734258443612442e-01
7.661532306461292796e-01	8.298907922363208955e-01
7.681536307261451757e-01	8.314069705544481215e-01
7.701540308061611828e-01	8.329219648193063597e-01
7.721544308861771899e-01	8.344357790274491427e-01
7.741548309661931970e-01	8.359484171516257112e-01
7.761552310462092041e-01	8.374598831409835187e-01
7.781556311262252112e-01	8.389701809212692929e-01
7.801560312062412184e-01	8.404793143950273215e-01
7.821564312862572255e-01	8.419872874417954067e-01
7.841568313662732326e-01	8.434941039182993761e-01
7.861572314462892397e-01	8.449997676586450401e-01
7.881576315263052468e-01	8.465042824745075967e-01
7.901580316063212539e-01	8.480076521553199242e-01
7.921584316863372610e-01	8.495098804684582117e-01
7.941588317663532681e-01	8.510109711594256998e-01
7.961592318463692752e-01	8.525109279520339811e-01
7.981596319263852823e-01	8.540097545485836328e-01
8.001600320064012895e-01	8.555074546300414084e-01
8.021604320864172966e-01	8.570040318562163195e-01
8.041608321664333037e-01	8.584994898659339402e-01
8.061612322464493108e-01	8.599938322772080479e-01
8.081616323264653179e-01	8.614870626874118198e-01
8.101620324064813250e-01	8.629791846734454763e-01
8.121624324864973321e-01	8.644702017919035919e-01
8.141628325665133392e-01	8.659601175792398520e-01
8.161632326465293463e-01	8.674489355519305889e-01
8.181636327265453534e-01	8.689366592066358752e-01
8.201640328065613605e-01	8.704232920203595070e-01
8.221644328865773677e-01	8.719088374506074324e-01
8.241648329665933748e-01	8.733932989355440712e-01
8.261652330466092709e-01	8.748766798941467471e-01
8.281656331266252780e-01	8.763589837263597859e-01
8.301660332066412851e-01	8.778402138132455068e-01
8.321664332866572922e-01	8.793203735171345459e-01
8.341668333666732993e-01	8.807994661817744042e-01
8.361672334466893064e-01	8.822774951324763304e-01
8.381676335267053135e-01	8.837544636762612038e-01
8.401680336067213206e-01	8.852303751020028644e-01
8.421684336867373277e-01	8.867052326805713314e-01
8.441688337667533348e-01	8.881790396649733577e-01
8.461692338467693419e-01	8.896517992904926508e-01
8.481696339267853491e-01	8.911235147748273189e-01
8.501700340068013562e-01	8.925941893182273157e-01
8.521704340868173633e-01	8.940638261036296663e-01
8.541708341668333704e-01	8.955324282967923599e-01
8.561712342468493775e-01	8.969999990464274653e-01
8.581716343268653846e-01	8.984665414843322484e-01
8.601720344068813917e-01	8.999320587255190684e-01
8.621724344868973988e-01	9.013965538683446077e-01
8.641728345669134059e-01	9.028600299946369923e-01
8.661732346469294130e-01	9.043224901698221352e-01
8.681736347269454201e-01	9.057839374430486368e-01
8.701740348069614273e-01	9.072443748473116854e-01
8.721744348869774344e-01	9.087038053995752929e-01
8.741748349669934415e-01	9.101622321008937533e-01
8.761752350470094486e-01	9.116196579365317687e-01
8.781756351270254557e-01	9.130760858760834653e-01
8.801760352070414628e-01	9.145315188735895218e-01
8.821764352870573589e-01	9.159859598676548531e-01
8.841768353670733660e-01	9.174394117815631855e-01
8.861772354470893731e-01	9.188918775233917424e-01
8.881776355271053802e-01	9.203433599861244874e-01
8.901780356071213873e-01	9.217938620477641454e-01
8.921784356871373944e-01	9.232433865714434473e-01
8.941788357671534015e-01	9.246919364055349311e-01
8.961792358471694087e-01	9.261395143837601873e-01
8.981796359271854158e-01	9.275861233252971072e-01
9.001800360072014229e-01	9.290317660348875739e-01
9.021804360872174300e-01	9.304764453029424898e-01
9.041808361672334371e-01	9.319201639056474695e-01
9.061812362472494442e-01	9.333629246050655359e-01
9.081816363272654513e-01	9.348047301492411476e-01
9.101820364072814584e-01	9.362455832723012294e-01
9.121824364872974655e-01	9.376854866945565359e-01
9.141828365673134726e-01	9.391244431226012379e-01
9.161832366473294798e-01	9.405624552494122881e-01
9.181836367273454869e-01	9.419995257544474532e-01
9.201840368073614940e-01	9.434356573037420146e-01
9.221844368873775011e-01	9.448708525500056910e-01
9.241848369673935082e-01	9.463051141327176730e-01
9.261852370474095153e-01	9.477384446782211036e-01
9.281856371274255224e-01	9.491708467998165588e-01
9.301860372074415295e-01	9.506023230978550842e-01
9.321864372874575366e-01	9.520328761598298994e-01
9.341868373674735437e-01	9.534625085604672146e-01
