epoch 	 loss
1.000000000000000000e+00	-1.253535151481628418e+00
2.000000000000000000e+00	-1.221086025238037109e+00
3.000000000000000000e+00	-1.262163400650024414e+00
4.000000000000000000e+00	-1.259999871253967285e+00
5.000000000000000000e+00	-1.252760171890258789e+00
6.000000000000000000e+00	-1.267500162124633789e+00
7.000000000000000000e+00	-1.282669782638549805e+00
8.000000000000000000e+00	-1.284901380538940430e+00
9.000000000000000000e+00	-1.282628417015075684e+00
1.000000000000000000e+01	-1.288118362426757812e+00
1.100000000000000000e+01	-1.299702405929565430e+00
1.200000000000000000e+01	-1.308924317359924316e+00
1.300000000000000000e+01	-1.312361836433410645e+00
1.400000000000000000e+01	-1.314721584320068359e+00
1.500000000000000000e+01	-1.321312308311462402e+00
1.600000000000000000e+01	-1.331231117248535156e+00
1.700000000000000000e+01	-1.340007305145263672e+00
1.800000000000000000e+01	-1.345582604408264160e+00
1.900000000000000000e+01	-1.350327610969543457e+00
2.000000000000000000e+01	-1.357349634170532227e+00
2.100000000000000000e+01	-1.366401195526123047e+00
2.200000000000000000e+01	-1.374698638916015625e+00
2.300000000000000000e+01	-1.380664110183715820e+00
2.400000000000000000e+01	-1.385639190673828125e+00
2.500000000000000000e+01	-1.391561865806579590e+00
2.600000000000000000e+01	-1.398087382316589355e+00
2.700000000000000000e+01	-1.403189897537231445e+00
2.800000000000000000e+01	-1.405963420867919922e+00
2.900000000000000000e+01	-1.407629132270812988e+00
3.000000000000000000e+01	-1.409445285797119141e+00
3.100000000000000000e+01	-1.410868644714355469e+00
3.200000000000000000e+01	-1.410821080207824707e+00
3.300000000000000000e+01	-1.409780502319335938e+00
3.400000000000000000e+01	-1.409195303916931152e+00
3.500000000000000000e+01	-1.409357786178588867e+00
3.600000000000000000e+01	-1.409461736679077148e+00
3.700000000000000000e+01	-1.409374475479125977e+00
3.800000000000000000e+01	-1.409889698028564453e+00
3.900000000000000000e+01	-1.411232352256774902e+00
4.000000000000000000e+01	-1.412664294242858887e+00
4.100000000000000000e+01	-1.413734793663024902e+00
4.200000000000000000e+01	-1.414837956428527832e+00
4.300000000000000000e+01	-1.416242003440856934e+00
4.400000000000000000e+01	-1.417512059211730957e+00
4.500000000000000000e+01	-1.418288707733154297e+00
4.600000000000000000e+01	-1.418846726417541504e+00
4.700000000000000000e+01	-1.419486522674560547e+00
4.800000000000000000e+01	-1.420020699501037598e+00
4.900000000000000000e+01	-1.420239925384521484e+00
5.000000000000000000e+01	-1.420364379882812500e+00
5.100000000000000000e+01	-1.420646429061889648e+00
5.200000000000000000e+01	-1.420958042144775391e+00
5.300000000000000000e+01	-1.421145439147949219e+00
5.400000000000000000e+01	-1.421370148658752441e+00
5.500000000000000000e+01	-1.421780347824096680e+00
5.600000000000000000e+01	-1.422244310379028320e+00
5.700000000000000000e+01	-1.422663092613220215e+00
5.800000000000000000e+01	-1.423162341117858887e+00
5.900000000000000000e+01	-1.423783659934997559e+00
6.000000000000000000e+01	-1.424383163452148438e+00
6.100000000000000000e+01	-1.424924373626708984e+00
6.200000000000000000e+01	-1.425499916076660156e+00
6.300000000000000000e+01	-1.426081895828247070e+00
6.400000000000000000e+01	-1.426576018333435059e+00
6.500000000000000000e+01	-1.427024841308593750e+00
6.600000000000000000e+01	-1.427494525909423828e+00
6.700000000000000000e+01	-1.427932262420654297e+00
6.800000000000000000e+01	-1.428313374519348145e+00
6.900000000000000000e+01	-1.428705096244812012e+00
7.000000000000000000e+01	-1.429111361503601074e+00
7.100000000000000000e+01	-1.429487109184265137e+00
7.200000000000000000e+01	-1.429863929748535156e+00
7.300000000000000000e+01	-1.430271625518798828e+00
7.400000000000000000e+01	-1.430666446685791016e+00
