 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 12:23:30, 31/3/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Empty 
           1          29           3           3   211.36385605419062        0.0000000000000000     
           2          89           5           5   13.930333893449962        0.0000000000000000     
           3         149           7           7  0.51117648519754955        0.0000000000000000     
           4         209           9           9   9.8807942917478499E-003   0.0000000000000000     
           5         245          10          11   1.8349416564677266E-003   0.0000000000000000     
           6         257          10          13   4.3144944240071484E-004   0.0000000000000000     
           7         269          10          15   7.4726675504419778E-005   0.0000000000000000     
           8         281          10          17   9.5918492323339674E-006   0.0000000000000000     
           9         293          10          19   9.1615465694951235E-007   0.0000000000000000     
