X          Y          Z          Atten_Azim          Atten_Azim_pre          Phase_Azim          Phase_Azim_pre          Atten_Geosignal          Atten_Geosignal_pre          Phase_Geosignal          Phase_Geosignal_pre          Atten_Coaxial          Atten_Coaxial_pre          Phase_Coaxial          Phase_Coaxial_pre
   0.0000000000000000        0.0000000000000000        50.000000000000000               -7.50634          -7.507873632531643          0.1136395          0.11761057571253783          -0.08351565          -0.08216358719162943          -0.2333976          -0.23352349092777971          1.240889          1.2416371214904784          0.03351928          0.03506847180768249
  0.30104149289743731        0.0000000000000000        50.042308622691863               -7.506837          -7.508335464553833          0.1119297          0.1158042020332337          -0.08498616          -0.08400262377097609          -0.2349929          -0.2361707778899491          1.239874          1.240619485024929          0.02908123          0.030707739556527114
  0.60208298579487463        0.0000000000000000        50.084617245383726               -7.506951          -7.50840600251174          0.1102741          0.11435846806755072          -0.08603019          -0.08520423092433216          -0.2371468          -0.23828852378738527          1.239417          1.240235959991932          0.0299541          0.031369077008318876
  0.90312447869231194        0.0000000000000000        50.126925868075588               -7.507442          -7.508697095774651          0.1084915          0.11252470905416018          -0.08735036          -0.0867143330996275          -0.2399642          -0.24114279510015849          1.238663          1.2393670961453913          0.03070873          0.032013137049925304
   1.2041659715897493        0.0000000000000000        50.169234490767451               -7.507793          -7.5089219089040755          0.1071359          0.11162178680710799          -0.08869765          -0.08775966149907113          -0.2447907          -0.24521732230908874          1.238159          1.2386825164949893          0.03516995          0.036180497574985
   1.5052074644871865        0.0000000000000000        50.211543113459314               -7.508163          -7.508887562453747          0.1054438          0.10964382482678897          -0.09036076          -0.0894986593634844          -0.2512689          -0.2531498746522904          1.237493          1.2377393707847595          0.03949489          0.03989120569632051
   1.8062489573846237        0.0000000000000000        50.253851736151177               -7.508098          -7.5086386216526035          0.1030561          0.10721049898209578          -0.09189096          -0.0913884770164013          -0.257439          -0.2607313171091974          1.236878          1.2369422821023464          0.04222878          0.042141573001599285
   2.1072904502820609        0.0000000000000000        50.296160358843039               -7.508086          -7.508769336862326          0.1009405          0.10629209806795127          -0.09392357          -0.09264150000674726          -0.2632397          -0.2644184415719748          1.236516          1.236554871685028          0.04370141          0.04340294691601989
   2.4083319431794981        0.0000000000000000        50.338468981534902               -7.508152          -7.508916799514771          0.09922893          0.10505817047846323          -0.09572328          -0.093952921231699          -0.2678756          -0.26752508945776826          1.236234          1.236244040939331          0.04441074          0.0442074839703798
   2.7093734360769353        0.0000000000000000        50.380777604226765               -7.508396          -7.509200086766243          0.0977697          0.10404173800606734          -0.09798094          -0.0959764200607896          -0.2727036          -0.27076550843220354          1.236037          1.2359264421048164          0.044824          0.04466259923796651
   3.0104149289743725        0.0000000000000000        50.423086226918628               -7.508759          -7.509596348292351          0.09624006          0.10275052611870772          -0.1005129          -0.09842317913808823          -0.2776875          -0.27463451555576923          1.235807          1.2355702400970459          0.04491202          0.0447275278684139
   3.3114564218718097        0.0000000000000000        50.465394849610490               -7.509296          -7.510117647928953          0.0944621          0.10045333316664702          -0.1035306          -0.10178183934402467          -0.2831052          -0.2805236857576132          1.235507          1.2351847932610511          0.04464408          0.04437509329481122
   3.6124979147692469        0.0000000000000000        50.507703472302353               -7.509921          -7.510802164168358          0.0928015          0.09883654008514887          -0.106845          -0.10537333077228071          -0.2881584          -0.2853218737658501          1.235291          1.2349604436502457          0.04430129          0.04394463369086978
   3.9135394076666841        0.0000000000000000        50.550012094994216               -7.510757          -7.511689210922718          0.09196859          0.09830166614451415          -0.1097069          -0.10838642577257157          -0.2923881          -0.2891459070284963          1.235139          1.2348760096533298          0.04403511          0.043602036788547016
   4.2145809005641217        0.0000000000000000        50.592320717686079               -7.511556          -7.512510829108477          0.09060545          0.09742136656475074          -0.1127111          -0.1114304972277403          -0.2967621          -0.29294462942057853          1.234892          1.2347345064630508          0.04356891          0.043156697706794714
   4.5156223934615589        0.0000000000000000        50.634629340377941               -7.512257          -7.513232530347824          0.08900996          0.09622157142064577          -0.1148005          -0.11324122335857155          -0.2991905          -0.2950438628217757          1.234532          1.2344214196877479          0.04267191          0.042306845879101725
   4.8166638863589961        0.0000000000000000        50.676937963069804               -7.512835          -7.513860985232354          0.08726912          0.0949320793851853          -0.1165208          -0.11466855238394738          -0.3010927          -0.2969117423151732          1.234167          1.234076748497963          0.04181135          0.041445065874981854
   5.1177053792564333        0.0000000000000000        50.719246585761667               -7.513389          -7.514623987368584          0.08541058          0.09356254808826453          -0.1185766          -0.11641199359229805          -0.3029946          -0.29890638534213904          1.23388          1.2337605283482074          0.04101934          0.040605174689459775
   5.4187468721538705        0.0000000000000000        50.761555208453530               -7.514076          -7.515560282958746          0.08315872          0.09157598684844977          -0.1216448          -0.11927718871581555          -0.3057321          -0.30199954106965665          1.233623          1.2334551705632208          0.04013777          0.039618271803748585
   5.7197883650513077        0.0000000000000000        50.803863831145392               -7.514669          -7.516200517824173          0.080836          0.08940976723332411          -0.1242251          -0.1216903053318739          -0.3076973          -0.3040779609863818          1.233348          1.2331264586939812          0.03921487          0.03865762320326564
   6.0208298579487449        0.0000000000000000        50.846172453837255               -7.515067          -7.5166930061821935          0.07985181          0.08888296336698538          -0.1244917          -0.12186448441421988          -0.306986          -0.30362790860606437          1.233136          1.2329395006849766          0.03849454          0.037998929625630354
   6.3218713508461821        0.0000000000000000        50.888481076529118               -7.514831          -7.516485792060375          0.08065999          0.08965253094370372          -0.122198          -0.11957679704988004          -0.304435          -0.30115016264052397          1.233082          1.2328864839892386          0.03848228          0.037990198692369435
