X          Y          Z          Atten_Azim          Atten_Azim_pre          Phase_Azim          Phase_Azim_pre          Atten_Geosignal          Atten_Geosignal_pre          Phase_Geosignal          Phase_Geosignal_pre          Atten_Coaxial          Atten_Coaxial_pre          Phase_Coaxial          Phase_Coaxial_pre
   0.0000000000000000        0.0000000000000000        50.000000000000000               -7.525583          -7.528508752805233          0.09045783          0.10096214473619468          -0.1113844          -0.11223321904820205          -0.2609156          -0.2556813800701857          1.24147          1.2347871471538543          0.02015908          0.0008692217683315019
  0.30104149289743731        0.0000000000000000        50.042308622691863               -7.52548          -7.528327369484901          0.08878469          0.10103186488626009          -0.1120413          -0.11136740174382927          -0.2638223          -0.25415812585988046          1.240637          1.2346003144798279          0.01728665          -0.00014491916973593435
  0.60208298579487463        0.0000000000000000        50.084617245383718               -7.525375          -7.529001666945696          0.08711301          0.10406422837705619          -0.1126969          -0.10827940466002227          -0.2667284          -0.25213764901047947          1.240194          1.2350717411108016          0.01828811          0.0019797103994965296
  0.90312447869231194        0.0000000000000000        50.126925868075581               -7.52527          -7.529963509482384          0.08544275          0.10495987432761199          -0.1133518          -0.10862370033882858          -0.2696347          -0.2534607172445059          1.239577          1.2353181078994273          0.01895119          0.003480877551364873
   1.2041659715897493        0.0000000000000000        50.169234490767437               -7.525164          -7.52943383612442          0.08377397          0.10395323178141123          -0.1140052          -0.10740660495803357          -0.2725403          -0.2532232970950008          1.239549          1.2355417472786903          0.02296441          0.006234933626174901
   1.5052074644871865        0.0000000000000000        50.211543113459300               -7.525057          -7.5282538510499          0.08210658          0.10277116434149748          -0.1146566          -0.10394105059223177          -0.2754456          -0.25212258799659015          1.239618          1.2357852731411456          0.02798783          0.010762537376415703
   1.8062489573846239        0.0000000000000000        50.253851736151162               -7.524949          -7.526022467198372          0.08044072          0.10403313874657161          -0.1153076          -0.09054246433072091          -0.2783506          -0.2408038176972747          1.239526          1.2356214185464383          0.03241995          0.020101377236986136
   2.1072904502820613        0.0000000000000000        50.296160358843018               -7.524839          -7.524219136628628          0.07877607          0.10322467605767256          -0.115957          -0.08497762038352491          -0.2812548          -0.23705592622706895          1.239325          1.235495456893444          0.03622288          0.027730491314554188
   2.4083319431794985        0.0000000000000000        50.338468981534881               -7.52473          -7.5232792928514485          0.07711318          0.10136062119159704          -0.1166028          -0.08529538295139076          -0.2841589          -0.24023714704968932          1.239048          1.2352236471042632          0.03939034          0.03084915608117578
   2.7093734360769357        0.0000000000000000        50.380777604226736               -7.524621          -7.523433426095486          0.07545167          0.09870781578531272          -0.1172473          -0.09008606943200828          -0.2870625          -0.24742951331445578          1.238724          1.235172343319893          0.04194642          0.03232738916187284
   3.0104149289743729        0.0000000000000000        50.423086226918599               -7.524509          -7.523480262164116          0.07379165          0.09586728192942148          -0.1178921          -0.09425278347113134          -0.2899655          -0.2537635063779056          1.238371          1.2350765456182957          0.04393884          0.03393597138702867
   3.3114564218718106        0.0000000000000000        50.465394849610462               -7.524397          -7.524160804434061          0.07213307          0.09022735836691863          -0.1185329          -0.10709645955120327          -0.2928678          -0.26843188800235396          1.237999          1.2353079139878749          0.04543012          0.034477473705542064
   3.6124979147692478        0.0000000000000000        50.507703472302317               -7.524284          -7.525633585901261          0.0704761          0.0886837251392842          -0.1191727          -0.11457359177637101          -0.2957697          -0.2782353529598058          1.237618          1.2356072556939124          0.04648948          0.03565694900655744
   3.9135394076666850        0.0000000000000000        50.550012094994180               -7.524171          -7.527476372310638          0.06882051          0.08693463575785167          -0.1198115          -0.1234166079278946          -0.2986712          -0.29011964341259006          1.237231          1.2359323328487872          0.04718635          0.037214805739176245
   4.2145809005641226        0.0000000000000000        50.592320717686043               -7.524057          -7.528622294789791          0.06716654          0.08568906609396941          -0.1204483          -0.12929553281512263          -0.3015722          -0.2978436425495744          1.236842          1.2361294847693443          0.04758588          0.0381850460691571
   4.5156223934615598        0.0000000000000000        50.634629340377899               -7.523941          -7.529160199941635          0.06551402          0.08470240028905875          -0.1210834          -0.13249321701784136          -0.3044722          -0.30256150515040164          1.236455          1.2361682968342305          0.04774657          0.03903213105180261
   4.8166638863589970        0.0000000000000000        50.676937963069761               -7.523825          -7.529417656391621          0.06386313          0.08284496023797995          -0.121716          -0.136061476104939          -0.3073719          -0.3074527785917044          1.236068          1.2361369630897046          0.04771914          0.03964268152561185
   5.1177053792564342        0.0000000000000000        50.719246585761617               -7.523709          -7.5295631320593355          0.06221378          0.08233667785363204          -0.1223471          -0.13608750140514375          -0.310271          -0.30901284861373907          1.235686          1.2360463459005355          0.04754663          0.040449493541455245
   5.4187468721538714        0.0000000000000000        50.761555208453480               -7.523591          -7.529648856257677          0.0605659          0.08205779725337035          -0.1229744          -0.13464988921236992          -0.3131692          -0.3093152193856418          1.235307          1.2359444485633373          0.04726455          0.04109558260276315
   5.7197883650513086        0.0000000000000000        50.803863831145343               -7.523473          -7.52956185471201          0.05891959          0.08164318064937598          -0.1236034          -0.1317577801198602          -0.316067          -0.3086558816664875          1.234933          1.2354480384933948          0.04690209          0.04191407685325143
   6.0208298579487458        0.0000000000000000        50.846172453837198               -7.523389          -7.529337325437546          0.0580587          0.08082162062678344          -0.1236088          -0.12965810968041422          -0.3175252          -0.3087266893498421          1.234566          1.2349298201372623          0.04648265          0.04264046590638158
   6.3218713508461839        0.0000000000000000        50.888481076529061               -7.523403          -7.528714405724764          0.05937819          0.08047698876545435          -0.1218935          -0.12785665109550953          -0.3149504          -0.3081075143343926          1.234206          1.2340210997676848          0.04602494          0.04333408321706054
