 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 11:51:18, 31/3/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error      DoFs_per_wavelength 
           1         110           1           1   346.49538154209404        3.9285714285714284     
           2         194           1           1   1236.3264256724069        6.9285714285714288     
           3         289           1           1   115.61586475014516        10.321428571428571     
           4         429           1           1   20.672756287557085        15.321428571428571     
           5         708           1           1   11.613597190175035        25.285714285714285     
           6        1192           1           1   6.7287050118339469        42.571428571428569     
           7        2114           1           1   2.1477900156390657        75.500000000000000     
           8        3853           1           1  0.65165721351974537        137.60714285714286     
           9        7095           1           1  0.19204924703630080        253.39285714285714     
          10       13545           1           1   5.0566723807364232E-002   483.75000000000000     
