 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 12:41:14, 31/3/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Empty 
           1          29           3           3   458.29964717949298        0.0000000000000000     
           2          89           5           5   119.78374651846622        0.0000000000000000     
           3         149           7           7   55.739036084263240        0.0000000000000000     
           4         209           9           9   28.599421563193612        0.0000000000000000     
           5         269          11          11   14.394029183608648        0.0000000000000000     
           6         329          13          13   6.7269962833859580        0.0000000000000000     
           7         389          15          15   2.8231250970267028        0.0000000000000000     
           8         449          17          17   1.0412022654277222        0.0000000000000000     
           9         509          19          19  0.33332503013304826        0.0000000000000000     
