 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 10:29:52, 6/4/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1          73           1           1   48.634249801346193        74.929973235281523     
           2          92           3           3   142.84653468911699        9.0022397256153006     
           3         681           1           3   398.82460979313367        7.9183690402578177E-003
           4        5401           3           5   406.11916103507724        1.1218202345204631E-002
           5        5766           1           5   31.216272098810226        4.3686264961979174E-003
           6        7628           3           7   33.538388675841475        3.6527991368905952E-003
           7        7578           1           7   45.368697293195773        9.6425083028037228E-004
           8       28555           1           9   32.205662361302664        1.3005486955544843E-005
           9       48900           1           9   4.4245811333252316        2.0454075660845933E-005
          10       78856           1          11   5.0953880079458784        2.7016628111907033E-006
          11       82670           1          11   1.9885452114948896        8.6838671870537210E-008
